date,open,high,low,close,volume,Name
2013-05-21,76.5728,77.1823,76.4422,77.1388,10099587,JNJ
2013-05-22,77.8152,78.9469,77.3765,77.6046,13810803,JNJ
2013-05-23,76.4203,77.1747,76.3238,76.508,14424194,JNJ
2013-05-24,76.1483,76.3501,75.8764,76.1659,10390046,JNJ
2013-05-28,76.7975,77.4555,76.5606,76.8589,8380624,JNJ
2013-05-29,76.394,76.4641,74.692,75.1394,11871743,JNJ
2013-05-30,75.1921,75.7185,75.1658,75.4377,7801107,JNJ
2013-05-31,75.1658,75.4377,73.8498,73.8498,13305355,JNJ
2013-06-03,73.9376,74.3148,73.1392,74.3148,11770398,JNJ
2013-06-04,74.3236,74.5955,73.3059,73.7797,9971961,JNJ
2013-06-05,73.613,74.5692,73.2357,73.4112,9839006,JNJ
2013-06-06,73.3322,74.0955,72.5076,74.0955,10671700,JNJ
2013-06-07,74.5341,74.7271,74.0428,74.4903,8908732,JNJ
2013-06-10,74.578,75.1921,74.3323,74.692,8476975,JNJ
2013-06-11,74.3587,74.5868,73.806,74.2972,8966971,JNJ
2013-06-12,74.7271,75.0079,73.4287,73.4638,8413194,JNJ
2013-06-13,73.341,74.5341,72.8852,74.4903,8572402,JNJ
2013-06-14,74.3148,74.9903,74.2709,74.4903,6357030,JNJ
2013-06-17,74.8938,75.8018,74.5517,75.1219,8429068,JNJ
2013-06-18,75.2272,75.8325,75.1219,75.7623,7233633,JNJ
2013-06-19,75.8237,75.8851,74.3938,74.4464,8288194,JNJ
2013-06-20,73.8762,74.0867,72.0426,72.4813,15173632,JNJ
2013-06-21,72.8146,73.9727,72.376,72.9901,20718487,JNJ
2013-06-24,72.7445,74.8412,72.648,74.2271,14777498,JNJ
2013-06-25,74.7096,75.0868,74.1657,74.8763,11241086,JNJ
2013-06-26,75.4026,76.6045,75.3939,76.315,11966641,JNJ
2013-06-27,76.7887,77.0453,75.8764,76.0694,8890310,JNJ
2013-06-28,76.0781,76.6571,75.3149,75.3237,11897743,JNJ
2013-07-01,75.2009,76.8852,75.0079,75.9992,9905779,JNJ
2013-07-02,76.0167,76.4992,75.6307,75.9465,8573755,JNJ
2013-07-03,76.0781,76.3589,75.5342,76.1308,3608615,JNJ
2013-07-05,76.8326,77.0958,76.2536,77.087,5403508,JNJ
2013-07-08,77.28,78.0696,77.1747,77.7187,12051669,JNJ
2013-07-09,77.7713,78.1485,77.5169,77.9731,9349609,JNJ
2013-07-10,77.9731,78.4994,77.9117,78.2889,7067188,JNJ
2013-07-11,78.7889,78.8942,78.0783,78.6661,8941210,JNJ
2013-07-12,78.6837,78.9469,78.4117,78.9469,7592485,JNJ
2013-07-15,78.8767,79.6662,78.7451,79.3065,13343236,JNJ
2013-07-16,79.868,80.4119,79.0697,79.3065,11410317,JNJ
2013-07-17,79.4645,79.8066,78.8504,79.0697,12835285,JNJ
2013-07-18,79.2451,79.7884,79.0083,79.1048,8329613,JNJ
2013-07-19,79.1662,80.9471,78.9995,80.912,12506366,JNJ
2013-07-22,80.7804,81.2015,80.3681,80.9558,9916889,JNJ
2013-07-23,81.0523,81.4603,80.8067,81.0787,8467834,JNJ
2013-07-24,81.2804,81.2892,80.4909,81.026,6846208,JNJ
2013-07-25,80.7102,81.3682,80.4909,81.2103,7355636,JNJ
2013-07-26,80.9909,81.5261,80.4058,81.4383,8664292,JNJ
2013-07-29,81.2629,81.9296,81.2453,81.7717,7925734,JNJ
2013-07-30,81.9998,82.4385,81.605,81.7366,8863057,JNJ
2013-07-31,81.7893,82.8332,81.7542,82.0261,11365654,JNJ
2013-08-01,82.6051,82.8157,82.206,82.263,11098955,JNJ
2013-08-02,82.0788,82.8069,81.9823,82.8069,8468725,JNJ
2013-08-05,82.5086,82.728,81.9647,82.2893,7192420,JNJ
2013-08-06,82.3595,82.4121,82.0261,82.2981,6414982,JNJ
2013-08-07,82.1139,82.4911,81.9998,82.1665,9060926,JNJ
2013-08-08,82.7016,82.7894,81.3331,81.8858,11090305,JNJ
2013-08-09,81.9296,81.9296,80.5172,81.026,12135904,JNJ
2013-08-12,80.7804,81.3857,80.4953,80.7102,11012407,JNJ
2013-08-13,80.6137,81.8945,80.4997,81.5963,10099808,JNJ
2013-08-14,81.4033,81.5436,79.403,79.5697,12717722,JNJ
2013-08-15,79.2364,79.3153,78.1573,78.5609,12010672,JNJ
2013-08-16,78.1924,78.7824,77.8766,78.4029,14100923,JNJ
2013-08-19,79.082,80.6554,78.976,79.9483,8687032,JNJ
2013-08-20,80.0367,81.0089,79.3119,79.3119,8559068,JNJ
2013-08-21,79.082,79.2235,78.3838,78.4898,7940700,JNJ
2013-08-22,78.4545,78.6931,77.8888,78.0125,7191852,JNJ
2013-08-23,77.7208,78.1716,77.0844,78.1451,7714511,JNJ
2013-08-26,78.1009,78.207,77.2435,77.3673,6723482,JNJ
2013-08-27,76.8723,76.9695,75.9796,76.1652,9941186,JNJ
2013-08-28,76.3331,76.8193,75.9089,76.4834,8829179,JNJ
2013-08-29,76.3773,77.0226,76.0061,76.5188,5768849,JNJ
2013-08-30,76.7044,76.7044,75.8824,76.3773,7471522,JNJ
2013-09-03,76.8016,77.164,76.0415,76.3862,7590512,JNJ
2013-09-04,76.4215,77.1154,76.2368,76.8104,8458849,JNJ
2013-09-05,76.8988,77.0491,76.5629,76.9342,5656291,JNJ
2013-09-06,77.0933,77.712,76.0149,77.0403,10035452,JNJ
2013-09-09,77.2435,77.4292,76.9077,77.3938,6822403,JNJ
2013-09-10,77.9065,78.2954,77.6501,78.2512,8658856,JNJ
2013-09-11,78.3396,78.9053,77.9109,78.8699,8098283,JNJ
2013-09-12,78.9318,79.1704,78.5605,78.6755,7938942,JNJ
2013-09-13,78.7815,78.8876,77.9639,78.2865,7738679,JNJ
