date,open,high,low,close,volume,Name
2013-05-21,9.6642,9.7353,9.6211,9.6553,6393453,KEY
2013-05-22,9.6963,9.8304,9.5176,9.5533,12546668,KEY
2013-05-23,9.3657,9.5533,9.3299,9.4997,8453263,KEY
2013-05-24,9.4282,9.5355,9.4103,9.5265,6965771,KEY
2013-05-28,9.6338,9.6963,9.5265,9.598,9828349,KEY
2013-05-29,9.5265,9.6695,9.4461,9.5801,11826661,KEY
2013-05-30,9.607,9.7768,9.598,9.6963,11078594,KEY
2013-05-31,9.6784,9.7321,9.607,9.6338,12467985,KEY
2013-06-03,9.6516,9.7321,9.4908,9.6248,8358713,KEY
2013-06-04,9.6159,9.7321,9.5176,9.5355,6664511,KEY
2013-06-05,9.5087,9.5712,9.3657,9.3657,8709911,KEY
2013-06-06,9.3478,9.4729,9.2949,9.464,8491874,KEY
2013-06-07,9.5533,9.7321,9.4908,9.7053,12459149,KEY
2013-06-10,9.7142,9.884,9.6874,9.8214,15392691,KEY
2013-06-11,9.7321,9.7768,9.5936,9.598,10677686,KEY
2013-06-12,9.6606,9.6874,9.3657,9.3657,11838079,KEY
2013-06-13,9.3657,9.5533,9.3031,9.5444,9921398,KEY
2013-06-14,9.5176,9.5265,9.2137,9.3031,11455292,KEY
2013-06-17,9.3567,9.3835,9.2495,9.312,8790561,KEY
2013-06-18,9.2852,9.464,9.254,9.3835,10058439,KEY
2013-06-19,9.3657,9.4014,9.2763,9.3031,10232612,KEY
2013-06-20,9.2227,9.5176,9.1512,9.2674,26925915,KEY
2013-06-21,9.3746,9.4908,9.2531,9.4193,17503937,KEY
2013-06-24,9.2942,9.4372,9.2227,9.3299,13035305,KEY
2013-06-25,9.4193,9.607,9.3657,9.5801,11249380,KEY
2013-06-26,9.8036,9.8036,9.6338,9.7231,13131516,KEY
2013-06-27,9.8125,9.9108,9.7499,9.9019,9506143,KEY
2013-06-28,9.8661,9.9108,9.7499,9.8661,10052498,KEY
2013-07-01,9.8929,10.1878,9.884,10.0449,12289875,KEY
2013-07-02,10.0449,10.2683,10.018,10.1878,12124372,KEY
2013-07-03,10.1253,10.2415,10.0895,10.2147,5205098,KEY
2013-07-05,10.304,10.724,10.304,10.724,14123684,KEY
2013-07-08,10.7777,10.8402,10.6257,10.6436,11242858,KEY
2013-07-09,10.7151,10.733,10.5498,10.6168,13754927,KEY
2013-07-10,10.6079,10.6436,10.4381,10.5364,10251611,KEY
2013-07-11,10.6883,10.6883,10.2861,10.3398,14681794,KEY
2013-07-12,10.3755,10.5408,10.3487,10.5364,8325809,KEY
2013-07-15,10.5811,10.6436,10.5096,10.5096,6754910,KEY
2013-07-16,10.5274,10.5319,10.2057,10.3219,9893547,KEY
2013-07-17,10.3487,10.4738,10.3219,10.4202,10480387,KEY
2013-07-18,10.2861,10.724,10.2236,10.5721,17962439,KEY
2013-07-19,10.5989,10.7955,10.5811,10.7598,13277458,KEY
2013-07-22,10.8045,11.0636,10.7509,11.0547,13419238,KEY
2013-07-23,11.0905,11.0994,10.9207,10.9832,12564202,KEY
2013-07-24,11.0368,11.1173,10.9519,11.0547,10783284,KEY
2013-07-25,11.0279,11.1664,10.9564,11.0458,13390034,KEY
2013-07-26,10.9385,11.0905,10.9385,11.0815,9505165,KEY
2013-07-29,11.0636,11.0815,10.8313,10.876,8190018,KEY
2013-07-30,10.9028,10.9832,10.8224,10.9028,8846935,KEY
2013-07-31,10.9296,11.0994,10.9207,10.9743,9988603,KEY
2013-08-01,11.0726,11.2871,11.0636,11.2513,10960365,KEY
2013-08-02,11.2424,11.2781,11.1173,11.2156,8371973,KEY
2013-08-05,11.1709,11.2602,11.119,11.1888,5512602,KEY
2013-08-06,11.1709,11.2245,11.0011,11.0636,10914162,KEY
2013-08-07,11.019,11.0279,10.8313,10.8849,11201965,KEY
2013-08-08,10.9743,11.0547,10.8492,10.9832,11611322,KEY
2013-08-09,10.9743,11.0547,10.8938,10.9296,7821677,KEY
2013-08-12,10.867,10.9475,10.8045,10.8849,7037004,KEY
2013-08-13,10.9117,11.0547,10.8134,10.9743,9872165,KEY
2013-08-14,10.9653,11.0458,10.9117,10.9832,8684848,KEY
2013-08-15,10.8849,10.8849,10.7151,10.7955,9610759,KEY
2013-08-16,10.8045,11.01,10.7687,10.867,7813843,KEY
2013-08-19,10.8977,10.8977,10.763,10.763,7898402,KEY
2013-08-20,10.781,10.9785,10.6751,10.9156,12514792,KEY
2013-08-21,10.8797,10.9695,10.772,10.8528,9717750,KEY
2013-08-22,10.8977,11.0997,10.8618,11.0862,8280698,KEY
2013-08-23,11.1042,11.1311,10.8977,10.9515,6673919,KEY
2013-08-26,10.9336,11.0054,10.8438,10.8708,7981867,KEY
2013-08-27,10.7316,10.7361,10.4219,10.4578,11639331,KEY
2013-08-28,10.386,10.6194,10.3322,10.4937,10637328,KEY
2013-08-29,10.5117,10.6553,10.4848,10.5835,9339615,KEY
2013-08-30,10.5835,10.5925,10.3591,10.4758,12161607,KEY
2013-09-03,10.5835,10.7451,10.4309,10.4848,9695293,KEY
2013-09-04,10.4668,10.5925,10.395,10.4848,14743286,KEY
2013-09-05,10.5027,10.7182,10.4937,10.6284,10870656,KEY
2013-09-06,10.7451,10.763,10.5296,10.6822,14096724,KEY
2013-09-09,10.7271,10.772,10.5745,10.763,9090325,KEY
2013-09-10,10.8438,10.9067,10.7989,10.8977,9438848,KEY
2013-09-11,10.8708,10.9515,10.7451,10.8259,7270828,KEY
2013-09-12,10.8259,10.8528,10.7092,10.7451,6762427,KEY
