date,open,high,low,close,volume,Name
2013-05-21,94.8666,95.4752,94.6787,95.0903,486280,MTB
2013-05-22,94.9919,96.1285,93.5152,93.6763,622154,MTB
2013-05-23,92.9782,93.8777,92.8619,93.3094,453203,MTB
2013-05-24,92.8977,93.7389,92.3965,93.7121,385866,MTB
2013-05-28,94.5265,95.3857,94.4191,94.9382,486462,MTB
2013-05-29,94.5623,95.3365,94.4281,94.8577,741478,MTB
2013-05-30,95.3171,95.9207,94.6954,95.5063,438914,MTB
2013-05-31,95.3171,95.7585,94.5063,94.5063,664835,MTB
2013-06-03,94.7405,95.245,94.0828,95.1369,818133,MTB
2013-06-04,95.1189,95.7316,93.6954,93.9567,1270740,MTB
2013-06-05,93.5423,94.0378,92.4882,92.6053,691033,MTB
2013-06-06,92.1639,92.5963,90.6954,92.5062,1030636,MTB
2013-06-07,92.9296,93.5423,92.5513,93.4612,405463,MTB
2013-06-10,93.7315,94.0738,93.3441,93.6864,635595,MTB
2013-06-11,92.9387,93.4071,92.308,92.7044,892057,MTB
2013-06-12,93.1459,93.4648,91.9476,91.9476,666010,MTB
2013-06-13,91.9657,93.3801,91.5062,93.299,546905,MTB
2013-06-14,94.1459,94.1459,92.1819,92.3531,544891,MTB
2013-06-17,93.1098,93.1639,92.3801,92.8305,531761,MTB
2013-06-18,92.8215,94.3261,92.2179,93.8125,1459266,MTB
2013-06-19,93.8035,94.0738,93.0828,93.254,634238,MTB
2013-06-20,92.7044,94.5243,92.2359,93.9657,1071126,MTB
2013-06-21,95.0648,96.0919,94.1369,95.7225,1407725,MTB
2013-06-24,94.8036,95.4792,94.0378,94.7495,784444,MTB
2013-06-25,95.236,96.8576,94.7855,96.6054,953232,MTB
2013-06-26,97.8306,99.2181,97.7405,98.8397,1110131,MTB
2013-06-27,99.2901,100.7001,99.2721,100.4523,974260,MTB
2013-06-28,100.2901,100.9118,99.7136,100.6775,1063780,MTB
2013-07-01,100.9028,102.5695,100.7136,101.7136,861417,MTB
2013-07-02,101.6055,102.7587,101.5154,102.4614,947082,MTB
2013-07-03,101.9659,102.5785,101.3442,102.2992,456265,MTB
2013-07-05,103.101,104.8668,103.0289,104.8668,635028,MTB
2013-07-08,104.6866,105.5155,104.4163,105.2992,859345,MTB
2013-07-09,105.6866,106.6326,105.0019,105.9209,1076512,MTB
2013-07-10,105.8038,106.2993,104.9659,105.8758,876254,MTB
2013-07-11,106.7948,106.7948,104.5875,105.2722,725805,MTB
2013-07-12,105.4614,106.2452,104.8578,106.1101,752618,MTB
2013-07-15,106.4434,106.6867,105.8038,106.3353,496511,MTB
2013-07-16,106.2362,106.3803,104.4614,105.9389,874507,MTB
2013-07-17,106.5515,106.9659,105.101,106.2542,867737,MTB
2013-07-18,105.7587,107.6957,103.6325,107.4795,1500877,MTB
2013-07-19,107.1822,107.2993,106.1371,106.5155,1373412,MTB
2013-07-22,106.6416,107.6597,106.4794,107.4344,760221,MTB
2013-07-23,107.4344,107.4705,106.6957,106.9389,625652,MTB
2013-07-24,106.984,107.5245,106.4975,106.6957,702661,MTB
2013-07-25,106.4885,106.8804,105.6056,106.056,670237,MTB
2013-07-26,105.8308,105.8308,104.8218,105.6326,435036,MTB
2013-07-29,105.7497,105.7497,104.3353,104.6416,504710,MTB
2013-07-30,105.2092,105.7137,104.8938,105.2182,536061,MTB
2013-07-31,105.4074,106.8849,105.1281,105.2812,886850,MTB
2013-08-01,106.3894,107.3623,106.1912,107.3173,651844,MTB
2013-08-02,107.029,107.5588,106.6777,107.3173,815011,MTB
2013-08-05,106.8849,107.6056,106.3894,107.0741,515468,MTB
2013-08-06,107.02,107.02,106.2002,106.5425,551314,MTB
2013-08-07,106.1551,106.4614,105.2272,105.7407,1193191,MTB
2013-08-08,106.1641,106.9659,105.4344,106.3083,433835,MTB
2013-08-09,106.083,106.5155,105.4975,106.011,587470,MTB
2013-08-12,105.6416,106.3713,105.2362,106.1461,532333,MTB
2013-08-13,106.2452,106.2452,105.3263,105.7497,512259,MTB
2013-08-14,105.7947,106.1101,105.3353,105.7857,550355,MTB
2013-08-15,105.2587,105.7137,104.8713,105.1731,623630,MTB
2013-08-16,104.9569,105.9695,104.9051,105.2001,614846,MTB
2013-08-19,105.2542,105.3533,104.4073,104.5605,570890,MTB
2013-08-20,104.6236,105.6596,104.4434,105.1461,398698,MTB
2013-08-21,104.7046,105.4164,103.8848,104.7136,650177,MTB
2013-08-22,104.8848,107.3804,104.8668,106.984,658687,MTB
