date,open,high,low,close,volume,Name
2013-05-21,30.785,30.8369,30.6154,30.7332,6468548,NKE
2013-05-22,30.7379,30.8934,30.1961,30.3657,8269186,NKE
2013-05-23,30.1443,30.2243,29.7249,29.838,8627672,NKE
2013-05-24,29.5271,29.6213,29.0041,29.5836,7517752,NKE
2013-05-28,29.9511,30.205,29.699,29.8145,7784102,NKE
2013-05-29,29.6401,29.7626,29.3998,29.6496,5521182,NKE
2013-05-30,29.7583,29.9237,29.4936,29.503,5955104,NKE
2013-05-31,29.4037,29.8481,29.1485,29.1485,7469714,NKE
2013-06-03,29.1201,29.8197,28.8885,29.7961,10141250,NKE
2013-06-04,29.9001,30.0514,29.4557,29.6779,6785606,NKE
2013-06-05,29.5928,29.7536,29.1201,29.191,6205356,NKE
2013-06-06,29.1863,29.3943,28.9357,29.3848,4761980,NKE
2013-06-07,29.5361,29.8245,29.4274,29.6637,5332382,NKE
2013-06-10,29.7394,30.0088,29.659,29.8008,5480116,NKE
2013-06-11,29.451,29.7536,29.295,29.3801,5540312,NKE
2013-06-12,29.5786,29.5786,29.0019,29.0303,5442454,NKE
2013-06-13,28.9783,29.2714,28.8506,29.1957,7836804,NKE
2013-06-14,29.1343,29.4983,29.1248,29.2572,5222280,NKE
2013-06-17,29.4888,29.6496,29.2241,29.2808,7512886,NKE
2013-06-18,29.2336,29.4274,29.1296,29.3801,9070916,NKE
2013-06-19,29.3754,29.4699,29.1815,29.191,9223444,NKE
2013-06-20,28.9924,29.1343,28.6663,28.7325,9824024,NKE
2013-06-21,28.7514,29.0161,28.3968,28.6332,10095028,NKE
2013-06-24,28.4393,28.6048,27.943,28.3401,9489318,NKE
2013-06-25,28.5623,28.8317,28.3401,28.5481,10901208,NKE
2013-06-26,28.7703,29.3659,28.7372,29.2383,11379284,NKE
2013-06-27,29.7205,29.9001,29.3706,29.4605,11575918,NKE
2013-06-28,29.2808,30.2877,28.4488,30.1034,26818762,NKE
2013-07-01,30.2263,30.5336,29.4037,29.4652,14398574,NKE
2013-07-02,29.2761,29.8197,29.2619,29.6023,7402270,NKE
2013-07-03,29.4226,29.7512,29.3565,29.7157,3377294,NKE
2013-07-05,29.8576,30.1743,29.8528,30.0845,5158938,NKE
2013-07-08,30.2547,30.5666,30.0088,30.1223,6982646,NKE
2013-07-09,30.2547,30.387,29.971,30.2216,6989460,NKE
2013-07-10,30.2121,30.2121,29.9332,30.0656,5101678,NKE
2013-07-11,30.3492,30.4627,29.9899,30.1223,7148004,NKE
2013-07-12,30.0797,30.1743,30.0136,30.0986,4424292,NKE
2013-07-15,29.9994,30.0892,29.9001,29.9474,5761842,NKE
2013-07-16,29.8481,30.0017,29.5314,29.6401,6858164,NKE
2013-07-17,29.5928,30.0986,29.5786,29.9379,6247556,NKE
2013-07-18,29.8954,30.1506,29.7346,29.9332,4486686,NKE
2013-07-19,29.9001,30.0599,29.8197,29.9474,5919356,NKE
2013-07-22,29.8339,30.0514,29.7063,29.919,5581572,NKE
2013-07-23,30.0277,30.0561,29.8481,29.8717,4289512,NKE
2013-07-24,29.8717,29.9852,29.5786,29.607,4705330,NKE
2013-07-25,29.6637,29.7299,29.4037,29.5408,8886682,NKE
2013-07-26,29.3328,29.5928,29.3234,29.5597,5518364,NKE
2013-07-29,29.4274,29.6826,29.4274,29.6448,5075646,NKE
2013-07-30,29.6165,29.8292,29.6117,29.711,6399898,NKE
2013-07-31,29.8386,30.0183,29.6732,29.7441,8461854,NKE
2013-08-01,29.8954,31.2521,29.8954,31.1859,15823314,NKE
2013-08-02,31.1954,31.4885,30.9212,31.3419,7499708,NKE
2013-08-05,31.2947,31.4554,31.2757,31.3892,4212986,NKE
2013-08-06,31.3467,31.6019,31.1457,31.4554,6244008,NKE
2013-08-07,31.2663,31.3136,31.0157,31.0252,5897876,NKE
2013-08-08,31.2285,31.4128,31.0961,31.2237,5057336,NKE
2013-08-09,31.1623,31.5499,31.1245,31.3467,5644752,NKE
2013-08-12,31.2427,31.4837,31.2237,31.4412,4401734,NKE
2013-08-13,31.4885,31.5547,31.0536,31.1103,4299400,NKE
2013-08-14,30.9779,31.0394,30.3634,30.4201,5961856,NKE
2013-08-15,30.1506,30.2547,29.8576,30.0136,6227880,NKE
2013-08-16,29.9899,30.4012,29.9426,30.0892,5261216,NKE
2013-08-19,30.1128,30.7817,30.0183,30.5903,7708920,NKE
2013-08-20,30.5147,31.063,30.4026,30.5525,7668206,NKE
2013-08-21,30.5241,30.7227,30.2736,30.3161,4770400,NKE
2013-08-22,30.3019,30.8077,30.2074,30.6612,5055914,NKE
2013-08-23,30.8077,30.8314,30.2074,30.3539,8044446,NKE
2013-08-26,30.4501,30.6066,30.3173,30.3173,5485232,NKE
2013-08-27,30.0043,30.2319,29.7813,29.7908,4870954,NKE
2013-08-28,29.7481,30.213,29.7149,30.0564,6045020,NKE
2013-08-29,29.8762,30.2888,29.824,30.1086,4599900,NKE
2013-08-30,30.2177,30.2556,29.6912,29.7956,5851098,NKE
2013-09-03,30.1703,30.7821,30.1181,30.4928,8213954,NKE
2013-09-04,30.5118,31.0596,30.4975,30.8912,7101448,NKE
