date,open,high,low,close,volume,Name
2013-05-21,30.6992,30.7688,30.2812,30.3509,2523495,NLSN
2013-05-22,30.2203,30.5163,30.0026,30.081,1842133,NLSN
2013-05-23,29.9852,30.0723,29.6108,30.02,1294702,NLSN
2013-05-24,30.0026,30.4815,29.7458,30.4815,2600361,NLSN
2013-05-28,30.4815,30.7166,30.2029,30.4118,1873037,NLSN
2013-05-29,30.3596,30.3596,29.4977,29.5151,3620130,NLSN
2013-05-30,29.5325,29.6979,29.3496,29.5064,1318441,NLSN
2013-05-31,29.4106,29.637,29.0797,29.5238,2631826,NLSN
2013-06-03,29.5937,29.7775,29.41,29.7512,1941104,NLSN
2013-06-04,29.69,29.7862,29.3925,29.4363,1371981,NLSN
2013-06-05,29.48,29.5413,29.1249,29.2263,1499200,NLSN
2013-06-06,29.1564,29.41,29.0076,29.41,1825866,NLSN
2013-06-07,29.3925,30.0311,29.2351,29.9612,1266955,NLSN
2013-06-10,30.0049,30.0136,29.7162,29.725,1035584,NLSN
2013-06-11,29.4975,29.76,29.3925,29.6812,1249548,NLSN
2013-06-12,29.76,29.8562,29.6287,29.6725,1457391,NLSN
2013-06-13,29.725,30.1011,29.5588,30.0399,1288953,NLSN
2013-06-14,29.9961,30.1624,29.9174,30.0311,1765252,NLSN
2013-06-17,30.1798,30.4423,29.9961,30.2673,1679400,NLSN
2013-06-18,30.3286,30.8272,30.2695,30.6872,1319526,NLSN
2013-06-19,30.6085,31.2908,30.521,30.661,3461844,NLSN
2013-06-20,30.3723,30.5123,30.0049,30.1274,2095878,NLSN
2013-06-21,30.1274,30.2848,29.655,29.7512,2491907,NLSN
2013-06-24,29.5238,29.7512,29.0776,29.6725,1635302,NLSN
2013-06-25,29.7687,29.8824,29.3707,29.5763,1413010,NLSN
2013-06-26,29.7512,29.7687,28.9814,29.5588,2842791,NLSN
2013-06-27,29.725,29.9699,29.6112,29.8299,1246306,NLSN
2013-06-28,29.8912,29.9699,29.3488,29.3838,7861778,NLSN
2013-07-01,29.4275,29.4625,28.9289,29.1126,3543638,NLSN
2013-07-02,30.2848,30.3985,29.6375,29.7162,9949965,NLSN
2013-07-03,29.7775,29.7862,29.5325,29.69,2292545,NLSN
2013-07-05,29.7775,30.4423,29.6594,30.3548,4606186,NLSN
2013-07-08,30.5997,31.2296,30.5385,30.7047,49550717,NLSN
2013-07-09,30.7397,30.8447,29.9087,29.9437,3987202,NLSN
2013-07-10,29.8562,29.9349,29.0864,29.3313,5048907,NLSN
2013-07-11,29.5413,29.9786,29.4713,29.9699,3542320,NLSN
2013-07-12,29.8912,30.2061,29.8299,30.1536,3444838,NLSN
2013-07-15,30.1536,30.4073,30.1274,30.1274,2637135,NLSN
2013-07-16,30.1011,30.1973,29.3051,29.6025,3804046,NLSN
2013-07-17,29.6375,29.8649,28.544,28.8414,5133046,NLSN
2013-07-18,28.9114,29.445,28.6577,29.2351,2729183,NLSN
2013-07-19,29.1389,29.2351,28.7715,29.0426,2319801,NLSN
2013-07-22,29.1913,29.2963,28.9464,29.2176,1187586,NLSN
2013-07-23,29.2176,29.3138,29.0251,29.1301,2045315,NLSN
2013-07-24,29.2613,29.5238,29.0951,29.1389,1684565,NLSN
2013-07-25,28.9639,29.2088,28.9639,29.0864,1572229,NLSN
2013-07-26,29.0864,29.1126,28.8502,29.0689,1205289,NLSN
2013-07-29,28.9202,29.2876,28.9114,29.1739,1881764,NLSN
2013-07-30,29.2263,30.2061,28.9901,29.3576,3904583,NLSN
2013-07-31,29.445,29.6375,29.2176,29.2351,1778673,NLSN
2013-08-01,29.515,29.6725,29.2438,29.3751,3086480,NLSN
2013-08-02,29.2263,29.6025,29.1651,29.515,3006536,NLSN
2013-08-05,29.5413,29.6987,29.4188,29.5763,2121915,NLSN
2013-08-06,29.48,29.585,29.3226,29.4713,1385585,NLSN
2013-08-07,29.3576,29.5238,28.9814,29.0076,1881666,NLSN
2013-08-08,29.0951,29.3488,28.7058,28.7365,1698499,NLSN
2013-08-09,29.0514,29.2482,28.7452,28.9464,1428089,NLSN
2013-08-12,28.8764,29.3226,28.7715,29.2351,1404289,NLSN
2013-08-13,29.3313,29.421,29.1126,29.2176,1708935,NLSN
2013-08-14,28.9989,29.1564,28.474,28.754,2546997,NLSN
2013-08-15,28.5878,28.8239,28.4915,28.5703,1414638,NLSN
2013-08-16,28.4915,28.8852,28.404,28.6315,1583081,NLSN
2013-08-19,28.5178,28.8546,28.3428,28.474,2024573,NLSN
2013-08-20,28.8764,29.9786,28.8764,29.445,2655641,NLSN
2013-08-21,29.3488,29.585,29.1126,29.3663,1869342,NLSN
2013-08-22,29.4625,29.7162,29.2351,29.6462,1233655,NLSN
2013-08-23,29.6725,29.9437,29.3925,29.7949,2367103,NLSN
