date,open,high,low,close,volume,Name
2013-05-21,77.1437,77.8278,76.6738,76.7068,4248540,OXY
2013-05-22,76.3112,76.9459,74.4236,75.0912,7651432,OXY
2013-05-23,74.1845,74.6544,73.2778,74.6214,4647564,OXY
2013-05-24,74.3494,75.1902,73.7147,74.8275,3863744,OXY
2013-05-28,76.2452,77.0613,76.0309,76.3689,5011603,OXY
2013-05-29,76.1958,78.2235,75.9567,77.935,6963283,OXY
2013-05-30,77.8608,78.7675,77.3992,78.0998,6121223,OXY
2013-05-31,78.0998,78.7757,75.8908,75.8908,9595568,OXY
2013-06-03,76.6574,77.729,76.2123,77.7042,6766455,OXY
2013-06-04,77.4404,78.5614,77.3003,77.6959,6425037,OXY
2013-06-05,77.0118,77.8196,76.4678,76.9706,5204328,OXY
2013-06-06,77.1366,77.5184,76.2402,76.8129,5803125,OXY
2013-06-07,77.1947,77.701,76.3896,77.286,6448940,OXY
2013-06-10,77.2445,77.5101,76.427,76.5971,4297734,OXY
2013-06-11,75.8502,76.8046,75.2028,75.734,4845766,OXY
2013-06-12,76.2734,76.5971,75.2194,75.485,3028635,OXY
2013-06-13,75.5348,77.6263,75.3688,77.2196,3989363,OXY
2013-06-14,77.3192,77.4769,75.7921,76.2651,2403614,OXY
2013-06-17,76.9042,77.3856,76.1987,76.8627,2665783,OXY
2013-06-18,76.6884,77.3938,76.5224,76.7133,2840081,OXY
2013-06-19,76.8793,77.3524,76.1572,76.1572,3066073,OXY
2013-06-20,75.3771,75.4767,73.4433,73.8168,5406302,OXY
2013-06-21,74.4973,75.2028,73.5014,74.6301,7413407,OXY
2013-06-24,73.7338,74.3645,72.6714,73.5595,5642952,OXY
2013-06-25,74.074,74.074,72.9453,73.5927,3465567,OXY
2013-06-26,74.6384,74.738,73.2773,74.074,3457408,OXY
2013-06-27,74.6218,75.7423,74.2981,74.9538,3372852,OXY
2013-06-28,74.6882,74.9236,74.0408,74.0574,3445607,OXY
2013-07-01,74.6301,75.1978,74.4475,74.7131,2835245,OXY
2013-07-02,74.7546,75.8253,74.6218,75.1696,3290603,OXY
2013-07-03,74.7795,74.8625,73.8915,74.4973,2436452,OXY
2013-07-05,74.738,75.6012,74.157,75.3854,2363370,OXY
2013-07-08,75.983,76.5141,75.1447,75.3937,3033407,OXY
2013-07-09,75.9,76.0909,74.3522,74.6467,5231862,OXY
2013-07-10,74.8293,74.8708,73.9661,74.0989,4572340,OXY
2013-07-11,75.07,75.2941,74.24,75.0451,3877008,OXY
2013-07-12,74.8791,75.0202,74.2649,74.8791,3996748,OXY
2013-07-15,74.8459,75.4933,74.2815,75.1198,2696348,OXY
2013-07-16,75.2277,75.4434,73.6508,74.4143,4145438,OXY
2013-07-17,74.5305,74.8874,74.1985,74.6467,3162647,OXY
2013-07-18,74.8625,76.0825,74.8127,75.7506,2838431,OXY
2013-07-19,76.0576,76.6967,75.4601,76.4311,3982079,OXY
2013-07-22,76.4394,76.8461,76.0327,76.3315,2496926,OXY
2013-07-23,76.3813,76.9125,76.1904,76.3813,2693423,OXY
2013-07-24,76.4892,76.5805,75.0119,75.5265,3007297,OXY
2013-07-25,75.2941,75.7174,74.8459,75.568,2308370,OXY
2013-07-26,74.9538,75.4435,74.5139,75.319,2480027,OXY
2013-07-29,75.2941,75.3107,74.2234,75.0949,3807929,OXY
2013-07-30,75.0285,75.153,71.4763,73.3022,8134753,OXY
2013-07-31,73.4682,74.5305,73.1777,73.9081,5292489,OXY
2013-08-01,74.406,74.7778,73.9578,74.572,3400663,OXY
2013-08-02,74.4309,74.6633,73.4184,73.8002,3544626,OXY
2013-08-05,73.7421,73.7794,73.0947,73.1611,3630706,OXY
