date,open,high,low,close,volume,Name
2013-05-21,115.7413,116.444,115.0972,115.7999,322751,PRGO
2013-05-22,116.1512,117.5518,114.4335,115.2338,505155,PRGO
2013-05-23,114.8825,115.8487,114.1602,115.0289,548354,PRGO
2013-05-24,114.5311,116.2684,113.8674,116.0634,403796,PRGO
2013-05-28,116.7271,117.0687,116.0439,116.4733,675812,PRGO
2013-05-29,116.3073,116.571,113.9827,114.305,727181,PRGO
2013-05-30,114.4515,115.4282,114.1487,114.471,358324,PRGO
2013-05-31,114.0803,114.2464,112.6739,113.1427,905307,PRGO
2013-06-03,113.5334,113.6369,111.4432,113.2501,673043,PRGO
2013-06-04,113.6701,113.8362,111.326,111.9511,596492,PRGO
2013-06-05,112.7129,112.7461,109.4409,110.5056,4750020,PRGO
2013-06-06,111.2088,115.0571,111.1111,114.7836,1177653,PRGO
2013-06-07,115.1254,115.6431,113.5822,114.0901,551247,PRGO
2013-06-10,114.6468,115.1547,113.9534,114.6566,470569,PRGO
2013-06-11,113.6799,115.1059,113.1818,114.4222,408550,PRGO
2013-06-12,115.3989,115.8042,113.1915,113.758,798658,PRGO
2013-06-13,113.4748,115.4526,112.7422,115.3208,804280,PRGO
2013-06-14,114.5785,116.2877,114.5785,115.8384,456675,PRGO
2013-06-17,117.0984,117.6942,115.9264,116.7272,764419,PRGO
2013-06-18,116.6882,118.4756,116.6589,118.3388,502364,PRGO
2013-06-19,117.4988,119.1983,117.1668,117.2937,667495,PRGO
2013-06-20,117.0007,117.0007,115.3891,115.6919,619781,PRGO
2013-06-21,116.4733,116.991,115.4575,116.8249,719406,PRGO
2013-06-24,116.1119,116.7663,115.1498,115.7408,774570,PRGO
2013-06-25,116.7663,116.7663,115.0375,116.024,403485,PRGO
2013-06-26,116.3659,117.323,116.0924,116.8151,498003,PRGO
2013-06-27,117.0691,118.1239,116.737,118.0653,396618,PRGO
2013-06-28,118.0458,119.1202,117.157,118.1825,744007,PRGO
2013-07-01,118.3681,119.6965,117.7919,119.1007,670493,PRGO
2013-07-02,118.6416,119.4132,118.1239,119.169,506823,PRGO
2013-07-03,118.6123,119.4523,118.1728,119.2862,417311,PRGO
2013-07-05,119.3058,121.0639,118.8125,120.888,685154,PRGO
2013-07-08,121.5034,121.6597,120.4974,121.4252,514121,PRGO
2013-07-09,122.1773,123.7596,121.7964,123.4763,1268066,PRGO
2013-07-10,123.5642,125.0489,123.5642,124.8633,1173840,PRGO
2013-07-11,125.5763,126.0744,124.5996,125.2247,753122,PRGO
2013-07-12,125.6446,125.9963,124.7265,125.4981,604662,PRGO
2013-07-15,125.2735,125.5079,123.7791,125.3419,515036,PRGO
2013-07-16,125.6642,125.6642,123.9256,124.9707,419682,PRGO
2013-07-17,125.4688,125.8205,124.5507,124.873,444635,PRGO
2013-07-18,124.9707,126.1037,124.7949,125.9865,532008,PRGO
2013-07-19,125.3321,130.3817,125.254,126.3577,481489,PRGO
2013-07-22,126.5139,127.559,125.9181,127.1586,318414,PRGO
2013-07-23,127.139,127.2465,126.1232,126.2697,566720,PRGO
2013-07-24,126.5335,127.6665,126.4553,126.9827,452290,PRGO
2013-07-25,126.5139,129.4636,126.1037,129.2878,665121,PRGO
2013-07-26,129.1413,131.1826,128.2867,131.1045,473564,PRGO
2013-07-29,126.8753,128.0571,120.1262,122.2554,10879068,PRGO
2013-07-30,124.7363,125.5079,122.3824,123.2712,3896123,PRGO
2013-07-31,123.9256,124.2089,121.308,121.4936,2594179,PRGO
2013-08-01,122.5973,123.7303,122.2945,122.4899,1634427,PRGO
2013-08-02,122.4801,125.4005,121.8062,125.4005,1951267,PRGO
2013-08-05,125.4884,125.4884,124.0917,124.2479,1210409,PRGO
2013-08-06,124.3847,125.4874,124.1014,124.9121,873611,PRGO
2013-08-07,124.834,125.7033,124.7168,125.4981,1048798,PRGO
2013-08-08,125.3907,126.1672,124.6484,125.9279,864832,PRGO
2013-08-09,126.4163,126.4163,125.2149,125.3809,714684,PRGO
2013-08-12,125.1172,125.713,125.0586,125.3126,551206,PRGO
2013-08-13,125.0,125.2442,124.0917,124.6679,534318,PRGO
2013-08-14,124.8633,125.0928,123.0271,123.4763,1473122,PRGO
2013-08-15,121.1127,121.9136,119.1593,119.462,2581009,PRGO
2013-08-16,117.4305,118.163,116.5026,117.2058,3695696,PRGO
2013-08-19,117.4598,118.0946,115.7408,115.9752,1163395,PRGO
2013-08-20,116.4831,116.7272,115.3598,116.2486,1002087,PRGO
2013-08-21,115.6431,116.6979,115.604,115.7408,805615,PRGO
2013-08-22,115.7408,117.1179,115.7017,116.991,597204,PRGO
2013-08-23,117.5086,117.5086,116.3756,116.6003,445220,PRGO
2013-08-26,116.6119,117.2277,116.1427,116.5337,519905,PRGO
2013-08-27,115.2532,115.3314,113.6649,114.1976,996022,PRGO
2013-08-28,113.7382,116.1134,113.3276,115.5954,1324233,PRGO
