date,open,high,low,close,volume,Name
2013-05-21,120.122,121.3828,119.511,121.0337,376412,ROP
2013-05-22,120.9464,121.635,119.1522,119.4917,760879,ROP
2013-05-23,118.2115,119.6468,118.2115,119.4141,578346,ROP
2013-05-24,116.7762,119.5377,116.7762,119.3462,626420,ROP
2013-05-28,120.4615,122.7599,120.3742,122.5175,915688,ROP
2013-05-29,122.0617,122.2847,120.2578,120.5391,588607,ROP
2013-05-30,120.6457,122.0132,120.6457,121.4701,369196,ROP
2013-05-31,121.2373,122.4884,120.413,120.4712,592650,ROP
2013-06-03,120.6263,121.7125,119.802,121.6931,696552,ROP
2013-06-04,121.6834,122.3866,119.7535,120.219,480314,ROP
2013-06-05,119.7341,120.4421,118.1145,118.4249,595438,ROP
2013-06-06,118.2406,118.58,117.0768,118.4345,404503,ROP
2013-06-07,118.9873,120.4615,118.7449,120.0154,278807,ROP
2013-06-10,120.5294,120.5294,119.5595,120.0735,301264,ROP
2013-06-11,118.9292,119.1037,117.5326,117.6393,669440,ROP
2013-06-12,118.6188,118.8264,115.8451,115.9615,525406,ROP
2013-06-13,115.7772,118.1145,115.5057,117.8333,244735,ROP
2013-06-14,117.7654,118.1242,116.3737,116.8343,370122,ROP
2013-06-17,118.0175,120.1414,117.6296,119.802,816804,ROP
2013-06-18,119.8505,121.3731,119.6662,121.0531,534866,ROP
2013-06-19,121.024,121.7222,119.9766,120.0251,370540,ROP
2013-06-20,119.2201,119.2201,117.2223,117.6102,569426,ROP
2013-06-21,118.483,118.9389,117.329,118.3958,1276963,ROP
2013-06-24,117.2126,117.4453,116.2524,116.3979,454503,ROP
2013-06-25,117.5132,117.6199,116.2428,116.6404,347502,ROP
2013-06-26,117.455,117.9496,116.6113,116.7568,388854,ROP
2013-06-27,117.6005,120.3645,117.5714,120.2578,497860,ROP
2013-06-28,119.6177,121.1694,119.191,120.4712,842865,ROP
2013-07-01,120.6069,122.6145,120.2384,121.6447,481506,ROP
2013-07-02,121.3246,122.1781,120.3839,120.9173,515350,ROP
2013-07-03,120.6069,121.441,120.1511,120.7912,129571,ROP
2013-07-05,122.052,124.011,122.0403,123.9819,293218,ROP
2013-07-08,124.4326,124.9861,123.1314,123.2479,424960,ROP
2013-07-09,123.8112,125.1804,123.8112,124.7434,272912,ROP
2013-07-10,124.3744,124.9376,123.8014,124.4715,220811,ROP
2013-07-11,126.2777,126.8992,125.7387,126.4233,327210,ROP
2013-07-12,126.064,126.6564,125.5591,126.637,272276,ROP
2013-07-15,126.6078,127.1516,126.3262,126.6758,292641,ROP
2013-07-16,126.9089,127.1613,125.1027,125.2192,252674,ROP
2013-07-17,125.9572,126.4525,125.4037,125.4911,223791,ROP
2013-07-18,125.6271,127.1419,125.2629,126.8603,281192,ROP
2013-07-19,126.7826,127.9479,126.7826,127.8896,269190,ROP
2013-07-22,127.8508,128.8782,127.7391,128.4626,270050,ROP
2013-07-23,128.5403,128.7733,127.977,128.181,277888,ROP
2013-07-24,128.3946,128.5208,127.6177,127.9479,204692,ROP
2013-07-25,127.4721,128.0643,127.1492,127.7537,347232,ROP
2013-07-26,126.9574,127.8994,126.6758,127.4138,500814,ROP
2013-07-29,124.1802,125.2678,122.339,123.1508,836236,ROP
2013-07-30,123.6364,124.0928,122.0774,123.0343,692842,ROP
2013-07-31,123.5101,123.5101,122.1603,122.3157,719042,ROP
2013-08-01,123.0829,124.6667,122.8498,124.2676,622494,ROP
2013-08-02,123.6364,123.8694,122.4905,123.7238,746203,ROP
2013-08-05,124.0636,124.0636,122.8789,123.0149,546144,ROP
2013-08-06,122.5002,122.9955,122.4322,122.6847,447611,ROP
2013-08-07,122.5293,122.8012,121.4709,122.374,374764,ROP
2013-08-08,122.6653,122.7139,122.0827,122.1895,301808,ROP
2013-08-09,122.1215,122.607,121.6845,122.1118,341125,ROP
2013-08-12,121.8884,123.6557,121.8884,123.5004,263437,ROP
2013-08-13,123.4616,124.4326,122.442,123.8597,240527,ROP
2013-08-14,123.2479,123.8403,122.3546,122.9955,366330,ROP
2013-08-15,121.7039,122.7818,121.3835,121.432,423309,ROP
