date,open,high,low,close,volume,Name
2013-05-21,17.5304,17.5737,17.3071,17.3107,7950978,SYMC
2013-05-22,17.3359,17.4007,16.9252,17.0189,10649020,SYMC
2013-05-23,16.918,16.9612,16.5649,16.6154,13556484,SYMC
2013-05-24,16.5289,16.5793,16.0678,16.4641,9595911,SYMC
2013-05-28,16.5793,16.6802,16.4028,16.5001,8605196,SYMC
2013-05-29,16.3488,16.5721,16.1903,16.4857,12459303,SYMC
2013-05-30,16.428,16.6154,16.3632,16.5361,7311718,SYMC
2013-05-31,16.428,16.4496,16.1326,16.1326,10323593,SYMC
2013-06-03,16.147,16.2515,15.9309,16.1398,11005740,SYMC
2013-06-04,16.0606,16.147,15.7796,15.7796,12363489,SYMC
2013-06-05,15.6571,15.8536,15.5634,15.5778,9620675,SYMC
2013-06-06,15.5562,15.7651,15.4265,15.7435,9892806,SYMC
2013-06-07,15.8948,16.0894,15.794,15.9885,9648630,SYMC
2013-06-10,15.9741,16.1038,15.7832,16.0317,9543913,SYMC
2013-06-11,15.9453,16.1686,15.7435,15.8588,12724130,SYMC
2013-06-12,16.0173,16.2191,15.9381,15.9813,11250300,SYMC
2013-06-13,15.9237,16.2407,15.8372,16.2047,9999678,SYMC
2013-06-14,16.2479,16.3236,16.0822,16.111,7893116,SYMC
2013-06-17,16.2271,16.2923,16.1037,16.198,7110403,SYMC
2013-06-18,16.1908,16.5462,16.1908,16.4882,11890608,SYMC
2013-06-19,16.4809,16.6768,16.4302,16.4664,8798002,SYMC
2013-06-20,16.3214,16.4157,16.169,16.2379,9023591,SYMC
2013-06-21,16.3504,16.3576,15.9514,16.1255,13174234,SYMC
2013-06-24,16.082,16.2633,15.8934,15.9623,8386717,SYMC
2013-06-25,16.1545,16.2125,15.9224,16.0312,5679846,SYMC
2013-06-26,16.1944,16.3649,16.1618,16.3359,7549217,SYMC
2013-06-27,16.4012,16.4882,16.2561,16.3214,9281344,SYMC
2013-06-28,16.2633,16.3431,16.111,16.3069,13769037,SYMC
2013-07-01,16.3504,16.4955,16.2923,16.3032,5915053,SYMC
2013-07-02,16.3504,16.539,16.2416,16.2778,5667791,SYMC
2013-07-03,16.1545,16.383,16.1146,16.2198,3552463,SYMC
2013-07-05,16.3794,16.6986,16.2923,16.6986,5639668,SYMC
2013-07-08,16.7348,16.7711,16.4302,16.5317,4985153,SYMC
2013-07-09,16.6333,16.6768,16.3649,16.5752,4170687,SYMC
2013-07-10,16.568,16.7747,16.5462,16.7566,3620972,SYMC
2013-07-11,16.9815,17.1628,16.8727,17.1519,5316993,SYMC
2013-07-12,17.1846,17.3006,16.996,17.2861,5371247,SYMC
2013-07-15,17.3006,17.3659,17.2208,17.3514,5336810,SYMC
2013-07-16,17.3949,17.569,17.3151,17.3877,8340192,SYMC
2013-07-17,17.5038,17.6561,17.424,17.5763,5697148,SYMC
2013-07-18,17.6561,17.7141,17.511,17.6198,6473058,SYMC
2013-07-19,17.6198,17.6198,17.3369,17.4094,8428706,SYMC
2013-07-22,17.482,17.4892,17.3659,17.424,5377443,SYMC
2013-07-23,17.7286,17.7286,17.3224,17.3514,5117744,SYMC
2013-07-24,17.3732,17.5618,17.3659,17.4965,4472150,SYMC
2013-07-25,17.4602,17.598,17.3732,17.5908,3613168,SYMC
2013-07-26,17.453,17.6561,17.3079,17.6053,4626749,SYMC
2013-07-29,17.4602,17.6198,17.3949,17.4602,5525675,SYMC
2013-07-30,17.598,17.8012,17.4892,17.6633,9062003,SYMC
2013-07-31,18.5773,19.5058,18.5701,19.3535,18885521,SYMC
2013-08-01,19.3535,19.5058,19.3027,19.368,7482471,SYMC
2013-08-02,19.3027,19.3716,19.1359,19.2374,5558482,SYMC
2013-08-05,19.2229,19.3463,19.0488,19.339,5379554,SYMC
2013-08-06,19.3027,19.368,19.1794,19.339,6101371,SYMC
2013-08-07,19.3462,19.4768,19.1576,19.397,5319302,SYMC
2013-08-08,19.4913,19.6582,19.3463,19.4551,7252257,SYMC
2013-08-09,19.339,19.5929,19.2461,19.4551,4083617,SYMC
2013-08-12,19.3535,19.5856,19.2955,19.5348,3616004,SYMC
2013-08-13,19.5058,19.6219,19.3172,19.5566,4481988,SYMC
2013-08-14,19.5929,19.6074,19.4043,19.426,3880170,SYMC
2013-08-15,19.2447,19.3898,19.1069,19.1794,5461952,SYMC
2013-08-16,19.0779,19.2012,18.9836,19.0343,5682867,SYMC
2013-08-19,19.0498,19.3854,19.0498,19.1081,4138331,SYMC
2013-08-20,19.0643,19.2467,18.995,19.1592,3597410,SYMC
2013-08-21,19.0352,19.1795,18.9367,18.9987,4067808,SYMC
2013-08-22,18.9768,19.3051,18.8674,19.2176,2754988,SYMC
2013-08-23,19.1884,19.3197,19.1024,19.2103,3572108,SYMC
2013-08-26,19.1738,19.2613,18.9841,18.9914,3291018,SYMC
2013-08-27,18.7798,18.8965,18.5317,18.5792,4709234,SYMC
2013-08-28,18.6047,18.8309,18.4442,18.7433,5225218,SYMC
2013-08-29,18.6704,19.0716,18.5974,19.006,3413783,SYMC
2013-08-30,18.9695,19.0716,18.6266,18.685,4174396,SYMC
2013-09-03,18.9184,19.2176,18.8309,19.0279,4674241,SYMC
2013-09-04,18.9111,18.9622,18.415,18.4734,9326583,SYMC
2013-09-05,18.4296,18.6886,18.4296,18.5682,4600586,SYMC
2013-09-06,18.5755,18.6631,18.2253,18.4953,4082741,SYMC
2013-09-09,18.6047,18.6996,18.5172,18.5237,4030677,SYMC
