date,open,high,low,close,volume,Name
2013-05-21,30.121,30.4588,30.0733,30.3895,2747578,SYY
2013-05-22,30.3549,30.6494,30.2509,30.3809,2813825,SYY
2013-05-23,30.2336,30.3722,29.7658,29.9391,6261858,SYY
2013-05-24,29.8265,30.2336,29.7831,30.1643,2588555,SYY
2013-05-28,30.3809,30.5975,30.2033,30.3029,2401703,SYY
2013-05-29,30.0863,30.1037,29.428,29.5406,4178683,SYY
2013-05-30,29.5146,29.7918,29.4626,29.5406,2787637,SYY
2013-05-31,29.4626,29.6445,29.246,29.2807,4617091,SYY
2013-06-03,29.272,29.4626,28.6483,29.3587,4383703,SYY
2013-06-04,29.3067,29.7225,29.3067,29.6099,4069244,SYY
2013-06-05,29.5406,29.6445,28.8822,28.8909,3667675,SYY
2013-06-06,28.9168,29.0295,28.7089,28.9255,4479576,SYY
2013-06-07,29.0728,29.3587,29.0468,29.246,3953825,SYY
2013-06-10,29.324,29.6532,29.1941,29.5233,3933832,SYY
2013-06-11,29.3587,29.7268,29.3587,29.5666,3756016,SYY
2013-06-12,29.6878,29.8438,29.5752,29.5926,2667164,SYY
2013-06-13,29.7052,29.9737,29.5059,29.9304,3116681,SYY
2013-06-14,29.8784,30.147,29.6965,29.8611,1892744,SYY
2013-06-17,29.9737,30.1816,29.9217,30.0517,2507223,SYY
2013-06-18,30.043,30.095,29.8265,30.095,2170116,SYY
2013-06-19,30.121,30.1383,29.5666,29.5839,2393618,SYY
2013-06-20,29.4539,29.4973,28.8909,28.9342,3820936,SYY
2013-06-21,29.1248,29.3587,28.9342,29.1767,5855767,SYY
2013-06-24,29.0121,29.428,28.8995,29.1594,2488469,SYY
2013-06-25,29.3327,29.4539,29.1507,29.35,2026190,SYY
2013-06-26,29.4799,29.7009,29.4626,29.5406,2202112,SYY
2013-06-27,29.6792,29.9651,29.6359,29.7052,1563387,SYY
2013-06-28,29.6965,29.8698,29.5839,29.5926,2984070,SYY
2013-07-01,29.8971,30.1242,29.8535,29.9757,2919032,SYY
2013-07-02,29.6351,29.967,29.5216,29.7224,2571923,SYY
2013-07-03,29.6613,29.7224,29.4779,29.4779,1362542,SYY
2013-07-05,29.6526,29.7486,29.3381,29.6438,1434079,SYY
2013-07-08,29.8797,30.3164,29.8447,30.2902,2433550,SYY
2013-07-09,30.3862,30.8287,30.3076,30.5871,2664201,SYY
2013-07-10,30.526,30.7007,30.3164,30.526,2310480,SYY
2013-07-11,30.788,30.9976,30.7705,30.9627,1964119,SYY
2013-07-12,30.8841,31.1024,30.823,31.0937,2006799,SYY
2013-07-15,31.05,31.2946,30.954,31.1636,1809524,SYY
2013-07-16,31.1374,31.347,31.0413,31.0675,2186995,SYY
2013-07-17,31.0937,31.1854,30.9103,30.9627,2102349,SYY
2013-07-18,30.9365,31.3383,30.8754,31.3208,1613504,SYY
2013-07-19,31.3645,31.478,31.1811,31.4693,2170514,SYY
2013-07-22,31.4081,31.4867,31.1723,31.216,1678155,SYY
2013-07-23,31.2597,31.4431,30.9627,31.0151,3571343,SYY
2013-07-24,31.0413,31.0937,29.9932,30.0718,5624728,SYY
2013-07-25,29.9845,30.2116,29.8928,30.1679,4071368,SYY
2013-07-26,30.0805,30.3862,29.801,30.3688,4395528,SYY
2013-07-29,30.36,30.6308,30.2028,30.5522,2492304,SYY
2013-07-30,30.8492,30.9802,30.2544,30.3076,3320930,SYY
