date,open,high,low,close,volume,Name
2013-05-21,41.7568,41.793,41.395,41.5669,1331847,TEL
2013-05-22,41.7206,42.0191,40.9157,41.1508,1855074,TEL
2013-05-23,40.8705,41.4583,40.771,41.2051,1469987,TEL
2013-05-24,40.9338,41.0875,40.5177,40.9519,865880,TEL
2013-05-28,41.187,41.4719,41.0152,41.0333,1653660,TEL
2013-05-29,40.7786,41.0242,40.5604,40.5694,1974061,TEL
2013-05-30,40.6786,41.4789,40.6604,41.0605,1580301,TEL
2013-05-31,40.9423,41.397,40.3694,40.3694,2200960,TEL
2013-06-03,40.5149,41.0651,40.3148,40.915,1709571,TEL
2013-06-04,40.9059,41.2424,40.5331,40.7695,1495635,TEL
2013-06-05,40.5876,40.6877,40.1293,40.4239,1732433,TEL
2013-06-06,40.4603,40.624,39.9056,40.4239,1475083,TEL
2013-06-07,40.5785,41.5516,40.5785,41.4061,1673407,TEL
2013-06-10,41.5152,41.5971,41.0333,41.106,1198065,TEL
2013-06-11,40.624,41.0605,40.3967,40.8241,1521313,TEL
2013-06-12,41.1333,41.2515,40.5785,40.6513,1523838,TEL
2013-06-13,40.624,41.5971,40.4603,41.488,867175,TEL
2013-06-14,41.5425,41.7244,41.1879,41.3061,1021047,TEL
2013-06-17,41.5516,42.1564,41.4698,41.9881,1308628,TEL
2013-06-18,41.9336,42.6429,41.9063,42.6247,1118154,TEL
2013-06-19,42.6157,42.6157,41.6653,41.8063,1638608,TEL
2013-06-20,41.3788,41.4698,40.624,40.715,1885216,TEL
2013-06-21,41.0514,41.5243,40.7059,41.4789,3003456,TEL
2013-06-24,41.0605,41.0878,40.0329,40.0965,2233216,TEL
2013-06-25,40.9969,41.2515,40.5422,41.1333,1278228,TEL
2013-06-26,41.5698,41.6062,41.2242,41.3061,1533714,TEL
2013-06-27,41.588,41.9245,41.5789,41.5971,1355365,TEL
2013-06-28,41.4789,41.7426,41.0969,41.4152,1467998,TEL
2013-07-01,41.6517,42.3974,41.6517,42.2064,1451704,TEL
2013-07-02,42.0336,42.3119,41.7699,42.0154,1377958,TEL
2013-07-03,41.7972,42.17,41.6244,42.0791,985522,TEL
2013-07-05,42.4611,42.5793,42.1609,42.4701,1498380,TEL
2013-07-08,42.6975,42.8612,42.2792,42.3428,1776011,TEL
2013-07-09,42.652,42.8703,42.2382,42.3519,1898249,TEL
2013-07-10,42.2883,42.6066,42.2701,42.4701,2205469,TEL
2013-07-11,43.1977,43.1977,42.5429,42.8248,1485522,TEL
2013-07-12,42.7884,43.2613,42.7066,43.1613,1115095,TEL
2013-07-15,43.1522,43.3841,42.9976,42.9976,1253365,TEL
2013-07-16,43.0977,43.134,42.7157,42.9158,2089850,TEL
2013-07-17,43.2159,43.7524,43.0795,43.4796,1512838,TEL
2013-07-18,43.4159,43.6433,43.0886,43.4705,1236972,TEL
2013-07-19,43.4341,43.4887,43.2704,43.4432,2003370,TEL
2013-07-22,43.5251,43.7615,43.4887,43.7433,1054640,TEL
2013-07-23,43.807,43.807,43.4978,43.6069,1876874,TEL
2013-07-24,43.9161,46.2897,43.9161,46.1624,5074276,TEL
2013-07-25,46.1624,46.7081,45.9441,46.1078,2840497,TEL
2013-07-26,45.9623,46.2534,45.7623,45.9441,1726229,TEL
2013-07-29,45.6804,46.1169,45.6804,45.7895,1562907,TEL
2013-07-30,45.926,46.1169,45.8077,45.8623,1313465,TEL
2013-07-31,45.9987,46.799,45.7986,46.417,1878084,TEL
2013-08-01,46.8172,46.9354,46.5535,46.8536,1275777,TEL
2013-08-02,46.7081,46.9582,46.6353,46.8445,1634053,TEL
2013-08-05,46.7899,46.9318,46.699,46.8354,1306273,TEL
2013-08-06,46.7717,46.8809,46.5535,46.699,1718636,TEL
2013-08-07,46.4534,46.5444,46.0806,46.1169,1819430,TEL
2013-08-08,46.3352,46.4898,46.0442,46.0442,2144125,TEL
2013-08-09,46.0624,46.1533,45.8623,46.0533,1509431,TEL
2013-08-12,45.7532,46.1351,45.6986,46.1078,1519625,TEL
2013-08-13,46.1078,46.3716,45.926,46.1533,2273332,TEL
2013-08-14,46.126,46.2988,45.8805,45.9169,1557837,TEL
2013-08-15,45.4258,45.4258,44.8347,45.0529,1273995,TEL
2013-08-16,44.9711,45.1257,44.7801,44.9256,1443991,TEL
2013-08-19,44.8347,44.9529,44.6982,44.7255,933906,TEL
2013-08-20,44.9347,45.2894,44.6891,45.1711,977382,TEL
2013-08-21,45.1166,45.5986,44.9301,45.2621,1199987,TEL
2013-08-22,45.4712,45.7732,45.3803,45.4894,1229857,TEL
2013-08-23,45.6349,45.7623,45.3985,45.544,1296019,TEL
2013-08-26,45.7608,45.8339,45.5231,45.642,1203519,TEL
2013-08-27,45.1483,45.2946,44.2525,44.5085,1927195,TEL
2013-08-28,44.3256,44.673,44.1428,44.6273,1215466,TEL
2013-08-29,44.5267,45.5048,44.4445,45.3312,1458895,TEL
2013-08-30,45.3129,45.3403,44.5633,44.7918,1607743,TEL
2013-09-03,45.386,45.8522,45.0204,45.1026,1610952,TEL
2013-09-04,45.1666,46.1082,45.1209,45.8705,2428035,TEL
2013-09-05,45.8796,46.1859,45.7882,45.971,1444040,TEL
2013-09-06,46.1173,46.163,45.2855,45.9071,917961,TEL
2013-09-09,46.3458,46.8669,46.3458,46.5744,2306070,TEL
2013-09-10,46.94,48.7043,46.94,48.4392,2826864,TEL
2013-09-11,48.2289,48.4848,48.0735,48.4209,1410460,TEL
2013-09-12,48.43,48.654,48.1649,48.302,975605,TEL
2013-09-13,48.9602,49.0425,48.3176,48.8505,2134413,TEL
2013-09-16,49.463,49.5361,48.7225,48.8962,1879365,TEL
