date,open,high,low,close,volume,Name
2013-05-21,76.1045,76.3809,74.1517,74.5708,4429923,TRV
2013-05-22,74.5084,75.1861,74.2498,74.6956,3411454,TRV
2013-05-23,74.1339,74.7581,73.7951,74.4549,2011178,TRV
2013-05-24,73.9288,74.5619,73.6435,74.5441,1294891,TRV
2013-05-28,75.2396,75.3109,73.7772,74.2052,2389410,TRV
2013-05-29,73.911,74.8646,73.6792,74.6065,2416399,TRV
2013-05-30,74.5976,75.5962,74.5976,75.4001,1721739,TRV
2013-05-31,75.2485,75.8727,74.6511,74.6511,2355051,TRV
2013-06-03,74.7046,74.9721,73.9734,74.6867,2295241,TRV
2013-06-04,74.8116,75.186,74.3925,74.7402,2491169,TRV
2013-06-05,74.4549,74.8116,73.2957,73.3314,2958386,TRV
2013-06-06,73.4391,73.5198,72.3356,73.3314,2763446,TRV
2013-06-07,73.6902,75.1077,73.1161,74.8565,2971096,TRV
2013-06-10,74.8565,75.018,74.0312,74.7309,2205927,TRV
2013-06-11,74.0581,74.3721,73.457,73.6364,2147577,TRV
2013-06-12,74.067,74.3182,73.0623,73.0712,1439155,TRV
2013-06-13,73.134,74.3093,72.5869,74.2824,1655070,TRV
2013-06-14,74.3541,74.5336,73.5377,73.6992,1268861,TRV
2013-06-17,73.9953,75.1705,73.9953,74.6681,2043699,TRV
2013-06-18,74.8386,75.6011,74.8296,75.4397,2021693,TRV
2013-06-19,75.2602,75.4307,73.8158,73.8158,1913783,TRV
2013-06-20,73.134,73.3045,71.4833,71.573,2842978,TRV
2013-06-21,71.8691,72.0485,70.4875,70.9361,4046706,TRV
2013-06-24,70.1017,70.4292,69.4199,69.8416,2833356,TRV
2013-06-25,70.2453,71.0078,70.1511,70.3619,2287276,TRV
2013-06-26,70.8105,71.7883,70.7836,71.582,2367727,TRV
2013-06-27,71.8152,72.1113,71.5999,72.0754,1886383,TRV
2013-06-28,71.8152,72.3446,71.3129,71.6986,2664848,TRV
2013-07-01,72.1651,73.1161,72.1651,72.7662,2291394,TRV
2013-07-02,72.6765,72.9456,71.3416,71.6089,2281880,TRV
2013-07-03,71.3577,72.3446,71.1873,72.1292,794842,TRV
2013-07-05,72.6047,72.9815,71.7704,72.9725,1373929,TRV
2013-07-08,73.2058,73.8428,73.2058,73.3493,1550903,TRV
2013-07-09,73.8607,74.076,73.2865,73.6095,1915071,TRV
2013-07-10,73.5826,73.6364,72.7483,73.1789,1452168,TRV
2013-07-11,74.1209,74.3362,73.6902,74.1926,1620148,TRV
2013-07-12,74.0581,75.5742,74.0581,75.5204,2117953,TRV
2013-07-15,75.2692,75.5204,74.5066,74.713,2312928,TRV
2013-07-16,74.8745,75.1436,74.4259,74.6681,1348848,TRV
2013-07-17,75.0718,75.4755,74.8475,75.3499,1720015,TRV
2013-07-18,75.6998,75.9869,75.5997,75.8344,2360513,TRV
2013-07-19,75.8613,76.0766,75.5294,75.951,1514578,TRV
