date,open,high,low,close,volume,Name
2013-05-21,23.5701,24.1204,23.5701,23.9686,6160950,TSN
2013-05-22,24.0635,24.3387,23.9686,24.0161,4847661,TSN
2013-05-23,23.7978,23.9212,23.4989,23.646,4665651,TSN
2013-05-24,23.4562,23.6555,23.2854,23.5986,1848494,TSN
2013-05-28,23.7789,23.9497,23.3756,23.5891,3022000,TSN
2013-05-29,24.5779,24.5874,23.8696,24.112,6157285,TSN
2013-05-30,24.169,24.4923,23.9695,24.2356,5618486,TSN
2013-05-31,24.15,24.3164,23.7602,23.7697,3618670,TSN
2013-06-03,23.7222,23.7887,23.2753,23.6176,4094690,TSN
2013-06-04,23.532,24.0645,23.532,23.9599,4292280,TSN
2013-06-05,23.8648,23.9123,23.475,23.5225,3401861,TSN
2013-06-06,23.4845,23.6509,23.3038,23.5891,2537516,TSN
2013-06-07,23.9599,24.093,23.5701,23.8173,4175593,TSN
2013-06-10,23.8268,24.3687,23.8268,24.1976,5573076,TSN
2013-06-11,23.9884,24.4353,23.9028,24.2451,2833831,TSN
2013-06-12,24.3592,24.5779,24.169,24.169,3742196,TSN
2013-06-13,24.15,24.5208,24.1215,24.4448,2340681,TSN
2013-06-14,24.5018,24.5969,24.1405,24.3022,2661872,TSN
2013-06-17,24.4638,24.5874,24.2451,24.3877,2985491,TSN
2013-06-18,24.2451,24.6444,24.2166,24.6064,3941155,TSN
2013-06-19,24.6254,24.7205,24.2736,24.2736,3133612,TSN
2013-06-20,24.1215,24.3497,23.9028,23.9789,4325542,TSN
2013-06-21,24.131,24.1881,23.6746,23.9504,4140170,TSN
2013-06-24,23.8078,23.9979,23.5225,23.7412,2519749,TSN
2013-06-25,24.0264,24.169,23.7982,23.8078,2156595,TSN
2013-06-26,23.9218,24.0169,23.7887,23.9028,1994846,TSN
2013-06-27,24.074,24.3592,23.9695,23.9884,2250865,TSN
2013-06-28,23.9789,24.4781,23.8363,24.4163,4008894,TSN
2013-07-01,24.5208,24.8156,24.4258,24.768,3248250,TSN
2013-07-02,24.768,25.1959,24.654,25.0343,4880712,TSN
2013-07-03,24.9487,25.0723,24.7205,24.749,2697900,TSN
2013-07-05,24.8726,25.058,24.7776,25.0248,2150207,TSN
2013-07-08,25.1579,25.4241,25.0913,25.2625,2152940,TSN
2013-07-09,25.4146,25.4146,24.9677,25.0248,3206308,TSN
2013-07-10,25.1484,25.4707,25.0771,25.4526,4756414,TSN
2013-07-11,25.6713,25.871,25.5477,25.6808,3970254,TSN
2013-07-12,25.6713,25.871,25.6143,25.8519,1851436,TSN
