date,open,high,low,close,volume,Name
2013-05-21,53.6259,53.8792,53.2849,53.5577,368354,VMC
2013-05-22,53.4604,53.9185,51.95,52.5152,759529,VMC
2013-05-23,50.917,52.3788,50.917,52.1449,813316,VMC
2013-05-24,51.6771,52.7296,51.1996,52.3788,342250,VMC
2013-05-28,53.2948,53.86,53.1096,53.3143,480168,VMC
2013-05-29,52.788,53.1485,52.0279,52.866,303625,VMC
2013-05-30,52.9927,53.4799,52.866,53.2655,877265,VMC
2013-05-31,52.9342,53.1973,52.1936,52.2131,495850,VMC
2013-06-03,52.3983,52.3983,50.537,51.8525,690369,VMC
2013-06-04,51.8428,52.8368,50.5954,50.7611,450830,VMC
2013-06-05,50.4688,50.8781,49.5625,49.6794,428953,VMC
2013-06-06,49.543,50.4006,48.9096,50.3908,812314,VMC
2013-06-07,50.7806,51.1899,49.9425,50.8586,368729,VMC
2013-06-10,51.0632,52.4177,50.4883,52.0962,501905,VMC
2013-06-11,51.1022,52.5542,50.9755,51.4238,534182,VMC
2013-06-12,51.9792,52.2228,51.3068,51.7356,600217,VMC
2013-06-13,51.7064,53.1778,51.3945,53.0999,515896,VMC
2013-06-14,52.9732,53.0414,52.2423,52.3203,432935,VMC
2013-06-17,52.7978,53.3143,52.4567,53.1291,406533,VMC
2013-06-18,53.1778,53.2655,52.5054,52.7686,512644,VMC
2013-06-19,52.5834,53.2461,52.0669,52.1059,375927,VMC
2013-06-20,51.3556,51.5992,50.0497,50.2349,632226,VMC
2013-06-21,50.6929,50.6929,48.4516,48.9193,1211155,VMC
2013-06-24,48.13,48.5588,46.4441,46.7949,968879,VMC
2013-06-25,47.3894,47.6995,46.9898,47.3796,797418,VMC
2013-06-26,48.0618,48.7147,47.633,47.8279,562993,VMC
2013-06-27,48.2762,49.0265,47.7792,48.9681,629461,VMC
2013-06-28,48.7244,49.0558,47.1263,47.175,667458,VMC
2013-07-01,47.6135,48.6952,47.3602,47.5453,540942,VMC
2013-07-02,47.4186,48.1105,46.5026,46.5708,655707,VMC
2013-07-03,46.3759,46.678,46.0641,46.2492,282486,VMC
2013-07-05,46.6585,46.8826,45.0311,45.7425,722922,VMC
2013-07-08,46.0154,46.8144,45.0993,45.7133,661200,VMC
2013-07-09,46.0348,48.0172,45.9179,47.6427,761378,VMC
2013-07-10,47.633,48.2762,47.3212,48.0715,407257,VMC
2013-07-11,48.8024,49.5138,48.4028,49.4163,718102,VMC
2013-07-12,49.2604,49.5235,48.6172,49.3871,399240,VMC
2013-07-15,49.2994,49.6882,48.7147,48.9778,267493,VMC
2013-07-16,49.1337,49.2799,47.7792,47.9838,368416,VMC
2013-07-17,48.1787,49.007,47.9741,48.7049,383332,VMC
2013-07-18,48.8121,49.5333,48.7147,48.9388,334637,VMC
2013-07-19,49.007,49.6112,48.8609,49.1922,606928,VMC
2013-07-22,49.2701,49.5333,48.8706,48.9486,279483,VMC
2013-07-23,49.163,49.3091,48.2859,48.4028,271534,VMC
2013-07-24,48.4028,48.5783,47.253,47.6817,403486,VMC
2013-07-25,47.5063,47.7694,46.4344,46.8534,534180,VMC
2013-07-26,46.4831,47.7207,46.4735,47.711,910627,VMC
2013-07-29,47.5356,47.5794,46.371,46.7072,450775,VMC
2013-07-30,46.7657,46.9314,45.3137,46.0738,1326736,VMC
2013-07-31,46.181,46.756,45.7717,45.9764,596828,VMC
2013-08-01,46.7267,49.4845,46.7267,48.4126,989486,VMC
2013-08-02,48.1008,48.6855,47.6817,47.9741,403246,VMC
2013-08-05,47.7499,48.2372,47.4381,48.169,377072,VMC
2013-08-06,47.8864,48.1397,46.3759,46.4929,769235,VMC
2013-08-07,46.4344,46.5416,45.7045,45.9959,823188,VMC
2013-08-08,46.3564,47.1945,45.8887,46.9704,491150,VMC
2013-08-09,46.5123,47.3796,46.3369,47.1458,354123,VMC
2013-08-12,46.7462,47.4576,46.5806,46.9801,522016,VMC
2013-08-13,47.0386,47.2432,46.6878,47.0678,1290120,VMC
2013-08-14,46.9898,47.3943,46.7365,47.2042,403838,VMC
2013-08-15,46.5026,46.5026,45.5866,46.1031,847834,VMC
2013-08-16,46.142,46.7267,45.8399,46.6293,970498,VMC
2013-08-19,46.4734,46.8729,46.1908,46.5221,593075,VMC
2013-08-20,46.5221,48.3931,46.3272,48.3639,866982,VMC
2013-08-21,48.1202,48.5295,47.1117,47.7207,766741,VMC
2013-08-22,47.7207,48.8024,47.7207,48.4418,752760,VMC
2013-08-23,48.3639,48.7147,46.7755,46.9996,409229,VMC
2013-08-26,46.8631,47.4284,46.0834,46.8144,661899,VMC
2013-08-27,46.1223,47.1165,46.0444,46.5707,829335,VMC
2013-08-28,46.4927,47.2822,46.4927,46.6487,497762,VMC
2013-08-29,46.3953,47.1263,45.9566,46.444,789833,VMC
2013-08-30,46.483,46.8241,46.0103,46.5902,623671,VMC
2013-09-03,47.1653,47.7501,46.8144,47.2627,843486,VMC
2013-09-04,47.1458,47.6526,46.7851,47.5746,667074,VMC
2013-09-05,47.5162,47.9743,47.37,47.9548,456588,VMC
2013-09-06,48.3154,48.6176,47.5746,47.8963,741951,VMC
2013-09-09,47.8768,49.0562,47.8281,48.9587,535568,VMC
2013-09-10,49.5435,50.4109,49.0757,50.1966,755463,VMC
2013-09-11,50.2258,51.1664,49.9626,51.0835,727618,VMC
2013-09-12,50.7131,51.0738,50.0601,50.3915,354911,VMC
2013-09-13,50.4987,51.4052,49.8749,51.2395,532601,VMC
2013-09-16,52.4968,52.9939,50.7814,51.025,792098,VMC
2013-09-17,50.9081,51.3857,50.255,50.6059,686515,VMC
2013-09-18,50.3915,52.0582,50.0893,52.029,862128,VMC
2013-09-19,52.2824,52.799,51.5221,51.5904,652428,VMC
2013-09-20,51.6293,52.0387,50.6742,50.6742,935866,VMC
2013-09-23,50.333,50.5864,49.6995,49.8164,432703,VMC
2013-09-24,49.9529,50.8593,49.3388,50.2453,435782,VMC
2013-09-25,50.411,51.5319,49.9821,50.8593,537560,VMC
