date,open,high,low,close,volume,Name
2013-05-21,36.9417,37.2191,36.9157,37.0544,1659331,WM
2013-05-22,37.0111,37.2711,36.53,36.6817,1950236,WM
2013-05-23,36.2223,36.8377,36.2223,36.6644,1519473,WM
2013-05-24,36.4824,36.7857,36.4477,36.7337,1216341,WM
2013-05-28,36.9504,37.0978,36.5777,36.7944,2102074,WM
2013-05-29,36.6644,36.6817,36.0923,36.3177,2034757,WM
2013-05-30,36.361,36.699,36.335,36.5344,1238706,WM
2013-05-31,36.4217,36.7511,36.3437,36.3437,2534923,WM
2013-06-03,36.4043,36.4043,35.8866,36.075,2472208,WM
2013-06-04,35.997,36.3437,35.997,36.205,2935609,WM
2013-06-05,36.2618,36.2618,35.6147,35.8333,2344713,WM
2013-06-06,35.7634,35.9295,35.0114,35.4923,2934733,WM
2013-06-07,34.7141,35.4311,33.9446,35.3874,5462504,WM
2013-06-10,35.5098,35.6322,35.3,35.3699,2576080,WM
2013-06-11,35.195,35.4963,35.0814,35.2038,1639733,WM
2013-06-12,35.3961,35.3961,35.064,35.0988,1642349,WM
2013-06-13,34.6966,34.9764,34.6179,34.8365,3278662,WM
2013-06-14,34.7578,34.924,34.6616,34.6966,2317527,WM
2013-06-17,34.9065,35.5186,34.7491,35.3699,2409142,WM
2013-06-18,35.4486,35.7896,35.3262,35.7197,1237073,WM
2013-06-19,35.7109,35.7197,35.1163,35.1251,1646469,WM
2013-06-20,34.9327,34.9327,34.513,34.5742,2009137,WM
2013-06-21,34.8278,35.0027,34.4955,34.854,2893919,WM
2013-06-24,34.4955,34.6004,34.1282,34.137,2439448,WM
2013-06-25,34.3818,34.5742,33.9368,34.1982,2852691,WM
2013-06-26,34.4605,35.0551,34.4168,35.0289,2528536,WM
2013-06-27,35.1775,35.3262,35.0027,35.1601,1540635,WM
2013-06-28,35.0988,35.4224,34.7316,35.265,2429905,WM
2013-07-01,35.3262,35.8421,35.2737,35.571,1502930,WM
2013-07-02,35.4661,35.8333,35.195,35.3262,1258526,WM
2013-07-03,35.195,35.2387,34.9153,35.1338,749004,WM
2013-07-05,35.23,35.6585,35.042,35.6322,1214362,WM
2013-07-08,35.6672,35.8946,35.3437,35.571,2309750,WM
2013-07-09,35.6585,36.1831,35.6322,36.0607,1785528,WM
2013-07-10,36.0432,36.4979,36.0432,36.2006,2134568,WM
2013-07-11,36.5766,36.7252,36.4279,36.7078,1147169,WM
2013-07-12,36.7252,36.8914,36.5766,36.7865,1194446,WM
2013-07-15,36.7515,36.9176,36.699,36.7865,1107744,WM
2013-07-16,36.769,36.9001,36.4682,36.6028,1073558,WM
2013-07-17,36.7252,36.8302,36.4892,36.6203,854124,WM
2013-07-18,36.8127,37.1537,36.7865,37.0051,1512503,WM
2013-07-19,37.0925,37.1012,36.7865,37.0663,1196665,WM
2013-07-22,37.1012,37.2586,36.9526,37.04,925042,WM
2013-07-23,37.04,37.1012,36.8171,37.1012,1182518,WM
2013-07-24,37.1187,37.451,36.9264,36.9963,1449441,WM
2013-07-25,36.8389,37.0838,36.734,37.0313,1078768,WM
2013-07-26,36.7952,36.9036,36.5066,36.769,1504073,WM
2013-07-29,36.7602,36.8118,36.5241,36.5941,1237491,WM
2013-07-30,36.5941,36.9264,36.3667,36.4804,1606640,WM
2013-07-31,36.6203,36.994,36.5416,36.7515,1979773,WM
2013-08-01,36.9351,37.3111,36.8826,37.1974,1491200,WM
2013-08-02,37.1974,37.3548,36.9351,37.2499,1409681,WM
2013-08-05,37.1187,37.3898,37.0838,37.3723,1444986,WM
2013-08-06,37.3024,37.3985,37.1887,37.2849,1323416,WM
2013-08-07,37.2324,37.4466,36.8914,37.4248,1697813,WM
2013-08-08,37.4685,37.8008,37.3898,37.6784,1234059,WM
2013-08-09,37.7046,37.7919,37.4248,37.7745,1280773,WM
2013-08-12,37.757,38.0194,37.6171,37.7483,1914911,WM
2013-08-13,37.792,38.1112,37.6821,38.0369,1601096,WM
2013-08-14,38.0543,38.0543,37.6303,37.7046,1701041,WM
2013-08-15,37.1187,37.1187,36.4192,36.5941,2938309,WM
2013-08-16,36.4892,36.7865,36.4717,36.664,1497039,WM
2013-08-19,36.6378,36.7078,36.4542,36.4892,1232686,WM
2013-08-20,36.4892,37.0575,36.323,36.8302,1664291,WM
2013-08-21,36.7515,36.7602,36.288,36.358,1415652,WM
2013-08-22,36.4105,36.8774,36.3667,36.6291,1205341,WM
2013-08-23,36.7427,36.9613,36.7078,36.8302,1164463,WM
2013-08-26,36.8477,36.9176,36.6378,36.7078,961253,WM
2013-08-27,36.3755,36.5504,35.982,35.9995,2110131,WM
2013-08-28,35.9383,36.0432,35.7818,35.9383,1206723,WM
2013-08-29,35.8508,36.0607,35.7022,35.7809,1172355,WM
2013-08-30,35.7721,35.7809,35.2475,35.3612,2003114,WM
2013-09-03,35.7372,35.8071,34.889,35.1076,2047074,WM
2013-09-04,35.1032,35.5532,34.9443,35.3326,2334350,WM
2013-09-05,35.2973,35.4297,35.1473,35.1649,2313996,WM
2013-09-06,35.3238,35.3856,34.9443,35.2267,1639904,WM
2013-09-09,35.3326,35.615,35.315,35.5973,1082813,WM
2013-09-10,35.7385,35.9856,35.6503,35.915,1174381,WM
2013-09-11,35.9327,36.1709,35.7977,36.1003,1225658,WM
2013-09-12,36.1621,36.3386,36.0386,36.065,1282800,WM
2013-09-13,36.1886,36.2503,35.9768,36.0827,1184173,WM
2013-09-16,36.3562,36.718,36.3033,36.5327,1206089,WM
2013-09-17,36.5327,36.5945,36.0915,36.3474,1447002,WM
2013-09-18,36.3298,37.274,36.268,37.2563,2229802,WM
2013-09-19,37.2828,37.4857,37.1858,37.3004,1259357,WM
2013-09-20,37.3534,37.3887,37.0622,37.1416,2216480,WM
2013-09-23,37.0622,37.2387,36.8151,36.9298,1332298,WM
2013-09-24,36.8416,37.1151,36.7533,36.7886,1425772,WM
2013-09-25,36.6651,36.7886,36.4665,36.5062,1410535,WM
2013-09-26,36.621,36.8327,36.5768,36.7886,1463139,WM
2013-09-27,36.6121,36.6739,36.2945,36.5239,1193656,WM
2013-09-30,36.215,36.4621,36.1621,36.3915,1299219,WM
2013-10-01,36.3915,36.7269,36.2768,36.6916,939666,WM
2013-10-02,36.5327,36.5327,36.0915,36.3739,1280183,WM
2013-10-03,36.2503,36.2856,35.5453,35.8444,1419507,WM
2013-10-04,35.8532,36.0915,35.7385,36.0033,1050296,WM
2013-10-07,35.7297,36.1797,35.6415,36.0562,1407450,WM
2013-10-08,35.968,36.0827,35.7032,35.7297,1237012,WM
2013-10-09,35.8356,35.8621,35.562,35.6503,1277485,WM
2013-10-10,36.0386,36.3827,35.8797,36.3827,1322911,WM
2013-10-11,36.3121,36.9298,36.2592,36.8327,1452690,WM
2013-10-14,36.621,36.9122,36.471,36.8151,798742,WM
2013-10-15,36.6474,36.9122,36.5327,36.5592,960542,WM
2013-10-16,36.8151,37.0534,36.6651,37.0445,1042943,WM
2013-10-17,36.8592,37.4946,36.718,37.4769,1768862,WM
2013-10-18,37.5475,37.5828,37.3622,37.4593,1284182,WM
2013-10-21,37.4504,37.5387,37.1416,37.521,1376618,WM
2013-10-22,37.6093,37.9976,37.574,37.9534,1447335,WM
2013-10-23,37.8564,38.2711,37.7152,38.2093,1904131,WM
2013-10-24,38.3594,38.3594,37.9181,38.1829,1644820,WM
2013-10-25,38.1123,38.5447,37.9623,38.5182,1552630,WM
2013-10-28,38.5005,38.7123,38.2711,38.4829,2390524,WM
2013-10-29,38.4476,39.3565,38.1299,38.1652,4017121,WM
2013-10-30,38.1652,38.5623,37.4946,37.5387,3818846,WM
2013-10-31,37.5034,38.5182,37.5034,38.4211,2620876,WM
2013-11-01,38.4035,38.6769,38.3335,38.5535,1830754,WM
2013-11-04,38.6064,38.6859,38.4388,38.4917,1967593,WM
2013-11-05,38.4299,38.6417,38.2623,38.5623,1680882,WM
2013-11-06,38.6417,38.7476,38.4476,38.6329,2714507,WM
2013-11-07,38.6682,38.8623,38.2623,38.2799,1908388,WM
2013-11-08,38.3417,38.9682,38.2976,38.9682,1461432,WM
2013-11-11,38.9065,39.1447,38.8006,38.9329,1123067,WM
2013-11-12,38.7829,38.8623,38.3241,38.6417,1838460,WM
2013-11-13,38.6064,38.9859,38.2535,38.9859,3453113,WM
2013-11-14,38.9594,39.6654,38.9506,39.5242,2175834,WM
2013-11-15,39.5065,39.9919,39.5065,39.8948,2052556,WM
2013-11-18,39.9566,40.3448,39.8595,40.133,1923931,WM
2013-11-19,39.9919,40.186,39.8418,40.0095,2928487,WM
2013-11-20,40.1154,40.3537,39.9433,40.0713,1530078,WM
2013-11-21,40.0624,40.486,39.886,40.3978,6290905,WM
2013-11-22,40.2125,40.7066,40.1242,40.6802,7267565,WM
2013-11-25,40.786,40.9272,40.1772,40.3007,8638437,WM
2013-11-26,40.2919,40.4154,40.2566,40.3448,2082791,WM
2013-11-27,40.3713,40.4132,40.0272,40.2742,1713757,WM
2013-11-29,40.2301,40.4331,40.0977,40.3095,1131079,WM
2013-12-02,40.2695,40.3495,39.9315,39.9848,3319496,WM
2013-12-03,39.7002,39.9493,39.5979,39.7002,2221400,WM
2013-12-04,39.5845,39.8425,39.4155,39.6379,2324721,WM
2013-12-05,39.5579,39.6824,39.3799,39.4422,2068613,WM
2013-12-06,39.8692,40.0738,39.798,39.8781,1687287,WM
2013-12-09,39.8959,39.967,39.6824,39.718,1716050,WM
2013-12-10,39.7447,39.8247,39.549,39.629,2321228,WM
2013-12-11,39.5845,39.7091,38.8907,38.9263,2506035,WM
2013-12-12,38.8729,39.2554,38.7395,38.9708,2350620,WM
2013-12-13,39.0063,39.1131,38.7395,38.8017,1997905,WM
2013-12-16,38.8551,39.0677,38.784,38.8996,3054047,WM
2013-12-17,38.8373,38.8907,38.5616,38.6594,2734050,WM
2013-12-18,38.7662,39.1665,38.2058,39.1309,3454650,WM
2013-12-19,39.0597,39.2199,38.864,39.0419,2047605,WM
2013-12-20,38.9974,39.5401,38.9974,39.4689,3735622,WM
2013-12-23,39.549,39.8425,39.5401,39.7891,2723606,WM
2013-12-24,39.8336,40.1094,39.8336,39.9581,766296,WM
2013-12-26,40.1183,40.1361,39.8514,40.0115,986951,WM
2013-12-27,39.9493,40.0471,39.8514,39.9493,702885,WM
2013-12-30,39.8603,39.967,39.7447,39.9226,1019530,WM
2013-12-31,39.9493,40.0293,39.8069,39.9137,1026955,WM
2014-01-02,39.8425,39.8514,39.2287,39.3177,1507563,WM
2014-01-03,39.3622,39.549,39.1398,39.3088,1463366,WM
2014-01-06,39.4778,39.4867,38.8818,38.9263,1907241,WM
2014-01-07,39.1754,39.2999,38.9974,39.2109,2136745,WM
2014-01-08,39.2198,39.2643,38.9441,39.1309,1761759,WM
2014-01-09,39.2287,39.291,38.784,38.8996,1637050,WM
2014-01-10,39.1931,39.2643,38.6327,38.7928,2015353,WM
2014-01-13,38.5527,38.6683,38.1903,38.2769,2472153,WM
2014-01-14,38.3303,38.6283,38.2947,38.5171,1794205,WM
2014-01-15,38.6416,38.6772,38.3881,38.4192,1832088,WM
2014-01-16,38.3481,38.4192,38.0278,38.1257,2193205,WM
2014-01-17,38.2146,38.5438,38.1079,38.357,2450796,WM
2014-01-21,38.6149,38.6505,38.0278,38.1702,1949274,WM
2014-01-22,38.2858,38.2947,37.9634,38.0278,1744117,WM
2014-01-23,37.7966,37.8144,37.2806,37.6364,3057500,WM
2014-01-24,37.4052,37.4674,37.0138,37.0405,3041645,WM
2014-01-27,37.0138,37.2184,36.8003,36.9515,2464839,WM
2014-01-28,37.0316,37.165,36.6757,36.8625,2139846,WM
2014-01-29,36.6046,36.8803,36.3466,36.5334,3043570,WM
2014-01-30,36.8003,37.2895,36.7469,37.1739,1863837,WM
2014-01-31,36.7736,37.2184,36.6135,37.165,2745501,WM
2014-02-03,37.1116,37.2362,36.3733,36.4712,3098455,WM
2014-02-04,36.6046,36.8003,36.5423,36.7291,1764610,WM
2014-02-05,36.5868,37.0538,36.5779,36.9159,2167271,WM
2014-02-06,36.9159,37.5831,36.8181,37.423,2090587,WM
2014-02-07,37.6364,38.2502,37.6364,38.1079,2421963,WM
2014-02-10,38.1079,38.1168,37.6898,37.93,2498311,WM
2014-02-11,37.841,38.3125,37.8055,38.1168,1645945,WM
2014-02-12,38.1257,38.3036,38.0723,38.1435,1208826,WM
2014-02-13,38.0012,38.5794,37.9155,38.5438,1134859,WM
2014-02-14,38.4459,38.9441,38.2552,38.8462,1717300,WM
2014-02-18,37.9745,38.6505,36.827,37.1116,6161397,WM
2014-02-19,36.6224,37.076,36.1776,36.6402,4958803,WM
2014-02-20,36.5868,36.8359,36.3288,36.4534,3454656,WM
2014-02-21,36.5423,36.7291,36.3199,36.4623,2672241,WM
2014-02-24,36.5067,36.7469,36.3822,36.5245,3222351,WM
2014-02-25,36.4712,36.6135,36.1153,36.2577,2978411,WM
2014-02-26,36.2399,36.5601,36.1598,36.3377,2813718,WM
2014-02-27,36.3199,36.5512,35.9819,36.0975,2166409,WM
2014-02-28,36.0709,36.9293,36.0709,36.9159,3545914,WM
2014-03-03,36.3644,36.8403,36.3644,36.7202,2574336,WM
2014-03-04,37.0049,37.1917,36.5334,36.8003,3013928,WM
2014-03-05,36.827,36.9248,36.6357,36.7736,2074205,WM
2014-03-06,36.7601,37.0204,36.7242,36.9845,2087734,WM
2014-03-07,37.0653,37.3077,36.9576,37.1461,1714542,WM
2014-03-10,37.0743,37.1551,36.9307,37.1192,1138788,WM
2014-03-11,37.1192,37.2269,36.867,37.0384,1331726,WM
2014-03-12,36.805,36.8858,36.3786,36.437,2662109,WM
2014-03-13,36.5716,36.6344,36.2215,36.2754,1989924,WM
2014-03-14,36.3203,36.7332,36.2574,36.6344,2216251,WM
2014-03-17,36.7332,36.8948,36.7018,36.8589,1649211,WM
2014-03-18,36.8858,37.1455,36.8858,37.0833,1355283,WM
2014-03-19,37.0294,37.2628,36.7691,36.9666,1711057,WM
2014-03-20,36.8768,37.0833,36.796,36.8678,1138535,WM
2014-03-21,37.191,37.2628,36.5447,36.5626,3765440,WM
2014-03-24,36.7242,36.9397,36.2799,36.3651,2856310,WM
2014-03-25,36.4998,36.7063,36.3921,36.4549,2033309,WM
2014-03-26,36.6434,36.7691,36.3562,36.3741,1767886,WM
2014-03-27,36.419,36.8948,36.2754,36.7152,1737713,WM
2014-03-28,36.9217,37.2269,36.805,36.9397,1630649,WM
2014-03-31,37.1372,37.7925,37.1102,37.7655,3596255,WM
2014-04-01,37.8104,37.8912,37.4783,37.6399,1965334,WM
2014-04-02,37.5501,37.7476,37.3795,37.4424,1958100,WM
2014-04-03,37.4872,37.577,37.2987,37.5591,1597408,WM
2014-04-04,37.6488,37.981,37.5366,37.5501,1837240,WM
2014-04-07,37.5411,37.8373,37.2808,37.3436,2118592,WM
2014-04-08,37.3346,37.7566,37.2808,37.7027,1871617,WM
2014-04-09,37.7655,37.8373,37.4962,37.6758,1650498,WM
2014-04-10,37.6758,37.8867,37.1282,37.1461,1691466,WM
2014-04-11,37.0653,37.2359,36.8409,36.8589,1450106,WM
2014-04-14,37.1282,37.2449,36.9038,37.1641,1138335,WM
2014-04-15,37.1461,37.2538,36.8858,37.1641,1507995,WM
2014-04-16,37.4154,38.0259,37.3436,37.8463,2188446,WM
2014-04-17,37.6847,37.8014,37.568,37.7296,1546538,WM
2014-04-21,37.586,37.77,37.3795,37.577,1393013,WM
2014-04-22,37.7027,37.8912,37.6309,37.6668,1425583,WM
2014-04-23,37.577,37.9002,37.4603,37.6937,2135912,WM
2014-04-24,37.6668,38.8158,37.5591,38.4567,3982504,WM
2014-04-25,38.4927,38.8697,38.3939,38.6363,1983626,WM
2014-04-28,38.8966,39.4173,38.8427,39.3275,2625409,WM
2014-04-29,39.4801,39.7135,39.1928,39.4173,2050995,WM
2014-04-30,39.4711,39.9469,39.3903,39.902,2414067,WM
2014-05-01,39.8482,39.9469,39.6327,39.7943,1715659,WM
2014-05-02,39.7494,39.8482,39.5429,39.6237,1433190,WM
2014-05-05,39.4981,39.6417,39.2826,39.5968,1418643,WM
2014-05-06,39.4981,39.507,39.1121,39.1121,2364155,WM
2014-05-07,39.2736,39.507,39.0941,39.4622,1811493,WM
2014-05-08,39.4981,39.8122,39.3903,39.5609,1349435,WM
2014-05-09,39.4981,39.541,39.2198,39.4262,1165905,WM
2014-05-12,39.5878,39.6462,39.2826,39.3903,1563722,WM
2014-05-13,39.5789,39.7135,39.3634,39.5968,1662015,WM
2014-05-14,39.5878,39.7135,39.4442,39.507,1115340,WM
2014-05-15,39.3993,39.5789,39.2198,39.4532,2292523,WM
2014-05-16,39.4262,39.4532,39.0672,39.3185,1590558,WM
2014-05-19,39.2557,39.4173,39.0717,39.3993,1973976,WM
2014-05-20,39.3993,39.4711,38.8158,38.9774,1454141,WM
2014-05-21,39.0851,39.1839,38.8517,39.1839,1036020,WM
2014-05-22,39.139,39.1569,38.8787,39.0313,1661803,WM
2014-05-23,39.1121,39.1749,38.8338,38.9325,1719806,WM
2014-05-27,38.9684,39.2557,38.8248,39.2557,1891752,WM
2014-05-28,39.4083,39.9289,39.3275,39.7225,2305891,WM
2014-05-29,39.7674,39.8482,39.5878,39.8212,1475322,WM
2014-05-30,39.8122,40.1444,39.7674,40.1085,2030704,WM
2014-06-02,40.1175,40.2521,39.9888,40.2252,1497158,WM
2014-06-03,40.0726,40.1354,39.7988,40.0995,1778799,WM
2014-06-04,40.0135,40.2308,39.9139,40.0135,2580180,WM
2014-06-05,40.095,40.095,39.8234,39.9501,1608036,WM
2014-06-06,40.0226,40.104,39.932,40.0678,1819318,WM
2014-06-09,39.923,40.3575,39.9215,40.3123,2508855,WM
2014-06-10,40.2579,40.62,40.2579,40.3304,1258061,WM
2014-06-11,40.2036,40.2127,39.9049,39.9139,1444908,WM
2014-06-12,39.8777,39.9637,39.5971,39.7329,1930817,WM
2014-06-13,39.76,40.0859,39.6786,39.8325,1212599,WM
2014-06-16,39.8053,40.0588,39.7419,39.8234,1066685,WM
2014-06-17,39.7238,40.2127,39.6514,40.0678,1239490,WM
2014-06-18,40.0678,40.2217,39.8506,40.104,1438060,WM
2014-06-19,40.1131,40.267,40.0226,40.1674,1453606,WM
2014-06-20,40.2579,40.4571,40.1991,40.4028,2224210,WM
2014-06-23,40.4571,40.5974,40.0135,40.1855,1240913,WM
2014-06-24,40.1131,40.2851,40.0497,40.1674,1023723,WM
2014-06-25,40.104,40.2851,39.9909,40.2489,990078,WM
2014-06-26,40.2217,40.3485,40.1086,40.2308,960990,WM
2014-06-27,40.1221,40.6382,40.1221,40.5929,2025306,WM
2014-06-30,40.5748,40.5838,40.3032,40.4933,1283111,WM
2014-07-01,40.5114,40.7106,40.3394,40.5838,1021307,WM
2014-07-02,40.5838,40.6471,40.1674,40.2579,926117,WM
2014-07-03,40.3032,40.4752,40.2398,40.4752,662484,WM
2014-07-07,40.3394,40.4661,40.1402,40.3213,1125230,WM
2014-07-08,40.2489,40.4616,40.1855,40.3756,1391301,WM
2014-07-09,40.3756,40.4571,39.8958,40.0497,1809033,WM
2014-07-10,39.8325,40.104,39.6786,39.9954,1064214,WM
2014-07-11,39.9863,40.1493,39.8506,40.1402,1252254,WM
2014-07-14,40.276,40.276,40.0678,40.1946,1447114,WM
