date,open,high,low,close,volume,Name
2013-05-21,14.1421,14.2357,14.091,14.1421,3882771,WU
2013-05-22,14.1421,14.3464,14.1336,14.2272,9019379,WU
2013-05-23,14.1165,14.2272,13.9761,14.0229,6101912,WU
2013-05-24,13.9718,14.0144,13.8952,14.0059,3697510,WU
2013-05-28,14.1336,14.2102,13.9505,13.9718,5863958,WU
2013-05-29,13.8867,13.9973,13.81,13.9377,5165709,WU
2013-05-30,13.9377,14.1123,13.9207,14.0144,3114809,WU
2013-05-31,13.9803,14.1251,13.9377,13.9463,5857183,WU
2013-06-03,13.9633,13.9973,13.7589,13.9888,5058359,WU
2013-06-04,13.9888,14.1165,13.8867,13.9292,4267523,WU
2013-06-05,13.8867,14.0229,13.7249,13.7249,4388315,WU
2013-06-06,13.6993,14.0059,13.6738,14.0059,4478351,WU
2013-06-07,14.0655,14.2059,13.9973,14.1761,3006829,WU
2013-06-10,14.4291,14.5063,14.3687,14.4034,4464490,WU
2013-06-11,14.2833,14.4206,14.2147,14.2919,5808360,WU
2013-06-12,14.309,14.309,14.1546,14.1889,7182279,WU
2013-06-13,14.1804,14.7208,14.1289,14.4892,6599411,WU
2013-06-14,14.5149,14.6608,14.4034,14.6007,5885986,WU
2013-06-17,14.6608,14.7037,14.4377,14.5321,6242349,WU
2013-06-18,14.5664,14.6951,14.5578,14.6951,5569674,WU
2013-06-19,14.7122,14.7809,14.4206,14.4377,5421017,WU
2013-06-20,14.3005,14.3734,14.0817,14.1375,7208390,WU
2013-06-21,14.2318,14.3305,14.1117,14.2233,11388245,WU
2013-06-24,14.1289,14.1521,13.9316,14.0517,6269879,WU
2013-06-25,14.1032,14.2747,14.0603,14.1804,5150785,WU
2013-06-26,14.2833,14.4892,14.2147,14.472,7244905,WU
2013-06-27,14.5836,14.6779,14.5149,14.5407,4921973,WU
2013-06-28,14.4635,14.7465,14.3519,14.6779,7325941,WU
2013-07-01,14.7294,14.8366,14.6779,14.6865,4311644,WU
2013-07-02,14.6951,14.738,14.2661,14.412,5894287,WU
2013-07-03,14.3262,14.5321,14.3176,14.5149,2194666,WU
2013-07-05,14.5921,14.635,14.4978,14.6179,4076929,WU
2013-07-08,14.6865,14.7551,14.6436,14.7465,3270648,WU
2013-07-09,14.8066,14.8838,14.6608,14.7637,3960006,WU
