date,open,high,low,close,volume,Name
2013-05-21,29.1432,29.2606,28.7457,28.9535,2079318,XL
2013-05-22,28.9083,29.2155,28.7638,28.8902,4308424,XL
2013-05-23,28.6283,28.8541,28.5018,28.565,2249429,XL
2013-05-24,28.3753,28.5469,28.2398,28.4566,1712061,XL
2013-05-28,28.7547,28.8993,28.4837,28.7096,1807259,XL
2013-05-29,28.5289,28.7005,28.285,28.6644,2266493,XL
2013-05-30,28.7638,28.9896,28.6463,28.8993,1972102,XL
2013-05-31,28.827,28.9354,28.3843,28.3934,1590519,XL
2013-06-03,28.4837,28.5198,27.7881,28.2579,2676326,XL
2013-06-04,28.2037,28.5198,28.0501,28.3392,3106176,XL
2013-06-05,28.1856,28.294,27.7792,27.8242,2120181,XL
2013-06-06,27.761,28.0501,27.6165,28.0501,1748737,XL
2013-06-07,28.2037,28.4205,28.0501,28.285,2240203,XL
2013-06-10,28.4774,28.6498,28.3367,28.6226,1541303,XL
2013-06-11,28.4139,28.4593,27.9601,28.0055,2074208,XL
2013-06-12,27.9692,28.3413,27.824,27.9874,1951122,XL
2013-06-13,27.9601,28.4593,27.7423,28.4048,1813214,XL
2013-06-14,28.305,28.4593,28.0781,28.187,1737645,XL
2013-06-17,28.3413,28.4683,28.0418,28.2505,1503162,XL
2013-06-18,28.3322,28.7678,28.2687,28.7587,1078372,XL
2013-06-19,28.6952,28.7224,27.9647,27.9692,1930961,XL
2013-06-20,27.7423,27.8739,27.1162,27.2069,2847323,XL
2013-06-21,27.4338,27.4701,26.6624,26.8258,4617391,XL
2013-06-24,26.49,26.7804,26.2087,26.608,3175435,XL
2013-06-25,26.8167,27.1797,26.7169,27.0072,2636366,XL
2013-06-26,27.2251,27.4429,27.1706,27.3249,1784029,XL
2013-06-27,27.4973,27.9057,27.4882,27.6244,2096767,XL
2013-06-28,27.5427,27.7877,27.3884,27.5155,2646407,XL
2013-07-01,27.6607,28.0509,27.6607,27.7877,1989039,XL
2013-07-02,27.7786,28.1008,27.5291,27.6607,2278383,XL
