date,open,high,low,close,volume,Name
2013-05-21,77.6532,78.2951,77.3754,77.6149,967015,ZBH
2013-05-22,77.6245,78.4868,76.082,76.5131,1007463,ZBH
2013-05-23,76.0245,76.6472,75.9382,76.5993,781532,ZBH
2013-05-24,76.0915,76.8101,75.6317,76.5227,579408,ZBH
2013-05-28,77.0975,77.8639,76.9055,77.3945,665445,ZBH
2013-05-29,76.8101,76.8101,75.1526,75.6987,1283657,ZBH
2013-05-30,75.9287,77.0017,75.6891,76.5897,599211,ZBH
2013-05-31,76.2544,76.7335,75.2197,75.2197,1080690,ZBH
2013-06-03,75.4688,75.8137,74.8173,75.5263,1769972,ZBH
2013-06-04,75.3634,75.4688,73.6101,74.3478,1497439,ZBH
2013-06-05,74.2328,74.9083,73.9167,73.9358,1038223,ZBH
2013-06-06,74.0316,75.0185,73.5813,75.0185,688217,ZBH
2013-06-07,75.3825,75.7754,74.8556,75.4305,556103,ZBH
2013-06-10,75.4209,75.67,74.5873,75.2101,972174,ZBH
2013-06-11,74.5873,75.2101,73.8113,74.1466,1237233,ZBH
2013-06-12,74.779,74.779,73.6484,73.7825,1028910,ZBH
2013-06-13,73.7251,75.3059,72.834,75.1526,714249,ZBH
2013-06-14,75.0664,75.5263,74.3957,74.5969,484403,ZBH
2013-06-17,75.2388,77.1071,75.2388,76.3119,1372463,ZBH
2013-06-18,76.2448,77.1742,76.1912,76.446,861698,ZBH
2013-06-19,76.561,76.561,74.5778,74.6736,892000,ZBH
2013-06-20,73.8496,74.0604,72.0676,72.2783,1093612,ZBH
2013-06-21,72.9011,73.543,72.4795,73.1789,1025690,ZBH
2013-06-24,72.8079,72.9616,71.6167,72.3084,1015918,ZBH
2013-06-25,72.9328,73.1153,71.9049,72.0202,1036553,ZBH
2013-06-26,72.5197,73.2594,71.9625,71.9914,1151795,ZBH
2013-06-27,72.587,72.6926,71.8953,72.0106,1151300,ZBH
2013-06-28,71.9721,72.4717,71.6359,71.9914,1575768,ZBH
2013-07-01,72.2123,72.8656,71.9049,72.049,1223658,ZBH
2013-07-02,72.0874,73.5476,72.049,73.0865,1194326,ZBH
2013-07-03,72.8752,72.9424,72.001,72.4525,492119,ZBH
2013-07-05,72.8175,73.3459,72.5293,73.3171,429087,ZBH
2013-07-08,73.4804,74.4891,73.4131,74.0472,869076,ZBH
2013-07-09,74.3257,74.4218,73.586,73.855,893837,ZBH
2013-07-10,73.8742,74.71,73.6673,74.1624,826857,ZBH
2013-07-11,75.0366,75.2864,74.5371,75.0943,682262,ZBH
2013-07-12,75.1807,76.2567,74.8349,75.8436,696472,ZBH
2013-07-15,75.7956,76.4584,75.7763,76.4296,674903,ZBH
2013-07-16,76.5641,77.9762,76.4296,76.9772,1373581,ZBH
2013-07-17,77.3806,78.6967,77.275,78.4662,1272215,ZBH
2013-07-18,78.4085,79.0426,78.3317,78.9753,988544,ZBH
2013-07-19,78.9561,81.7324,78.6583,81.3385,2322653,ZBH
2013-07-22,80.5508,81.4538,80.1473,81.1944,952648,ZBH
2013-07-23,81.108,81.2665,80.3029,81.1752,1291300,ZBH
2013-07-24,81.1752,81.2425,80.4451,80.7333,873354,ZBH
2013-07-25,80.6757,81.108,79.4172,79.6382,1479640,ZBH
2013-07-26,79.35,81.2232,79.2539,81.156,897018,ZBH
2013-07-29,80.5508,80.6949,79.7534,80.3298,1209615,ZBH
2013-07-30,80.2626,80.5796,79.4941,79.7246,580358,ZBH
2013-07-31,80.0128,80.6949,79.8016,80.1953,1000769,ZBH
2013-08-01,80.5988,81.4202,80.1185,81.1464,1039715,ZBH
2013-08-02,80.5892,80.7429,80.3683,80.6949,925064,ZBH
